request_id,source_id,requested_date,request_role,page_number,requested_url,final_url,requested_at_utc,completed_at_utc,attempts,status_code,outcome,content_type,content_bytes,sha256,raw_relative_path,x_wp_total,x_wp_totalpages,retry_after,error
req_0011,cyprus_mail,,robots,,https://archive.cyprus-mail.com/robots.txt,,2026-09-14T22:05:54+00:00,2026-09-14T22:05:55+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /robots.txt (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0012,cyprus_mail,,access_conditions,,https://archive.cyprus-mail.com/,,2026-09-14T22:05:56+00:00,2026-09-14T22:05:57+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0013,cyprus_mail,2000-06-15,wordpress_api,1,https://archive.cyprus-mail.com/wp-json/wp/v2/posts?after=2000-06-14T23%3A59%3A59&before=2000-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:05:58+00:00,2026-09-14T22:06:00+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2000-06-14T23%3A59%3A59&before=2000-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0014,cyprus_mail,2000-06-15,daily_html_reconciliation,1,https://archive.cyprus-mail.com/2000/06/15/,,2026-09-14T22:06:01+00:00,2026-09-14T22:06:02+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /2000/06/15/ (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0015,cyprus_mail,2009-06-15,wordpress_api,1,https://archive.cyprus-mail.com/wp-json/wp/v2/posts?after=2009-06-14T23%3A59%3A59&before=2009-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:06:03+00:00,2026-09-14T22:06:04+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2009-06-14T23%3A59%3A59&before=2009-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0016,cyprus_mail,2009-06-15,daily_html_reconciliation,1,https://archive.cyprus-mail.com/2009/06/15/,,2026-09-14T22:06:05+00:00,2026-09-14T22:06:06+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /2009/06/15/ (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0017,cyprus_mail,2014-06-15,wordpress_api,1,https://archive.cyprus-mail.com/wp-json/wp/v2/posts?after=2014-06-14T23%3A59%3A59&before=2014-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:06:07+00:00,2026-09-14T22:06:08+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2014-06-14T23%3A59%3A59&before=2014-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0018,cyprus_mail,2014-06-15,daily_html_reconciliation,1,https://archive.cyprus-mail.com/2014/06/15/,,2026-09-14T22:06:09+00:00,2026-09-14T22:06:10+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /2014/06/15/ (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0019,cyprus_mail,2026-08-15,wordpress_api,1,https://archive.cyprus-mail.com/wp-json/wp/v2/posts?after=2026-08-14T23%3A59%3A59&before=2026-08-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:06:11+00:00,2026-09-14T22:06:13+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2026-08-14T23%3A59%3A59&before=2026-08-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0020,cyprus_mail,2026-08-15,daily_html_reconciliation,1,https://archive.cyprus-mail.com/2026/08/15/,,2026-09-14T22:06:14+00:00,2026-09-14T22:06:15+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='archive.cyprus-mail.com', port=443): Max retries exceeded with url: /2026/08/15/ (Caused by NameResolutionError(""HTTPSConnection(host='archive.cyprus-mail.com', port=443): Failed to resolve 'archive.cyprus-mail.com' ([Errno 8] nodename nor servname provided, or not known)""))"
