metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank,top_partner_iso3,top_partner_name,top_value_musd
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2019,CHN,China,117593.935664,1,CHN,China,117593.935664
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2019,USA,United States,66044.237247,2,CHN,China,117593.935664
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2019,JPN,Japan,12859.700785000001,5,CHN,China,117593.935664
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2020,CHN,China,122399.765173,1,CHN,China,122399.765173
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2020,USA,United States,52470.80488199999,2,CHN,China,122399.765173
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2020,JPN,Japan,11814.531348000004,5,CHN,China,122399.765173
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2021,CHN,China,163606.15006000004,1,CHN,China,163606.15006000004
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2021,USA,United States,72521.02070299999,2,CHN,China,163606.15006000004
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2021,JPN,Japan,15322.353838000001,5,CHN,China,163606.15006000004
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2022,CHN,China,164215.780198,1,CHN,China,164215.780198
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2022,USA,United States,92386.957558,2,CHN,China,164215.780198
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2022,JPN,Japan,15588.742069,6,CHN,China,164215.780198
