query_partner,act_id,date_celebration,year,subject,is_principal
Argentina,4746,2001-08-14,2001,Energia e Recursos Estratégicos,True
Argentina,4747,2001-08-14,2001,Cooperação e Desenvolvimento,True
Argentina,4748,2001-08-14,2001,Meio Ambiente e Sustentabilidade,True
Argentina,4749,2001-08-14,2001,Relações Diplomáticas e Consulares,True
Argentina,4750,2001-08-14,2001,Consulares e Migratórios,True
Argentina,4717,2001-06-11,2001,Educação e Cultura,True
Argentina,4713,2001-05-08,2001,Mar e Espaço,True
Argentina,4693,2000-12-15,2000,Serviços e Transporte,True
Argentina,4634,2000-06-15,2000,Cooperação e Desenvolvimento,True
Argentina,4635,2000-06-15,2000,Cooperação e Desenvolvimento,True
Paraguai,7313,2012-05-24,2012,Cooperação e Desenvolvimento,True
Paraguai,7141,2011-06-28,2011,"Direito, Justiça & Segurança Pública",True
Paraguai,7142,2011-06-28,2011,Cooperação e Desenvolvimento,True
Paraguai,7143,2011-06-28,2011,Cooperação e Desenvolvimento,True
Paraguai,7144,2011-06-28,2011,Cooperação e Desenvolvimento,True
Paraguai,6756,2010-05-05,2010,Cooperação e Desenvolvimento,True
Paraguai,6753,2010-05-03,2010,Cooperação e Desenvolvimento,True
Paraguai,6754,2010-05-03,2010,Cooperação e Desenvolvimento,True
Paraguai,6755,2010-05-03,2010,"Ciência, Tecnologia e Inovação",True
Paraguai,6540,2009-11-03,2009,Cooperação e Desenvolvimento,True
Paraguai,6535,2009-10-27,2009,Cooperação e Desenvolvimento,True
Paraguai,6482,2009-09-01,2009,Comércio Internacional e Investimentos,True
Paraguai,6427,2009-07-25,2009,Cooperação e Desenvolvimento,True
Paraguai,11813,2008-10-20,2008,Cooperação e Desenvolvimento,True
Paraguai,6245,2008-10-15,2008,Cooperação e Desenvolvimento,True
Paraguai,6064,2008-04-09,2008,"Agricultura, Pecuária e Pesca",True
Paraguai,6065,2008-04-09,2008,Cooperação e Desenvolvimento,True
Paraguai,5906,2007-08-08,2007,Cooperação e Desenvolvimento,True
Paraguai,5858,2007-06-28,2007,Cooperação e Desenvolvimento,True
Paraguai,5825,2007-05-21,2007,Defesa e Segurança,True
Paraguai,5826,2007-05-21,2007,Defesa e Segurança,True
Paraguai,5827,2007-05-21,2007,"Agricultura, Pecuária e Pesca",True
Paraguai,5828,2007-05-21,2007,Educação e Cultura,True
Paraguai,5829,2007-05-21,2007,Educação e Cultura,True
Paraguai,5830,2007-05-21,2007,Comércio Internacional e Investimentos,True
Paraguai,5831,2007-05-21,2007,Cooperação e Desenvolvimento,True
Paraguai,5832,2007-05-21,2007,Educação e Cultura,True
Paraguai,5833,2007-05-21,2007,Cooperação e Desenvolvimento,True
Paraguai,5834,2007-05-21,2007,Educação e Cultura,True
Paraguai,5835,2007-05-21,2007,Educação e Cultura,True
Paraguai,5836,2007-05-21,2007,"Trabalho, Saúde e Previdência",True
Paraguai,5837,2007-05-21,2007,"Agricultura, Pecuária e Pesca",True
Paraguai,5838,2007-05-21,2007,Cooperação e Desenvolvimento,True
Paraguai,5803,2007-04-12,2007,Educação e Cultura,True
Paraguai,5771,2007-03-02,2007,Educação e Cultura,True
Paraguai,5746,2007-01-19,2007,Energia e Recursos Estratégicos,True
Paraguai,5719,2006-11-23,2006,"Trabalho, Saúde e Previdência",True
Paraguai,5720,2006-11-23,2006,"Agricultura, Pecuária e Pesca",True
Paraguai,5721,2006-11-23,2006,Energia e Recursos Estratégicos,True
Paraguai,5722,2006-11-23,2006,Serviços e Transporte,True
Paraguai,5723,2006-11-23,2006,"Agricultura, Pecuária e Pesca",True
Paraguai,5724,2006-11-23,2006,"Trabalho, Saúde e Previdência",True
Paraguai,5725,2006-11-23,2006,"Fronteira, Infraestrutura e Integração Regional",True
Paraguai,5726,2006-11-23,2006,"Direito, Justiça & Segurança Pública",True
Paraguai,5727,2006-11-23,2006,Cooperação e Desenvolvimento,True
Paraguai,5675,2006-09-11,2006,Energia e Recursos Estratégicos,True
Paraguai,5676,2006-09-11,2006,Cooperação e Desenvolvimento,True
Paraguai,5526,2005-12-08,2005,"Fronteira, Infraestrutura e Integração Regional",True
Paraguai,5527,2005-12-08,2005,Cooperação e Desenvolvimento,True
Paraguai,5394,2005-06-20,2005,"Direito, Justiça & Segurança Pública",True
Paraguai,5344,2005-03-31,2005,Meio Ambiente e Sustentabilidade,True
Paraguai,5236,2004-10-22,2004,Cooperação e Desenvolvimento,True
Paraguai,5160,2004-03-29,2004,"Agricultura, Pecuária e Pesca",True
Paraguai,5034,2003-10-14,2003,"Trabalho, Saúde e Previdência",True
Paraguai,5035,2003-10-14,2003,"Fronteira, Infraestrutura e Integração Regional",True
Paraguai,4999,2003-08-16,2003,Cooperação e Desenvolvimento,True
Paraguai,4947,2002-12-18,2002,"Trabalho, Saúde e Previdência",True
Paraguai,4899,2002-09-09,2002,"Direito, Justiça & Segurança Pública",True
Paraguai,4857,2002-05-29,2002,"Economia, Finanças e Tributos",True
Paraguai,4858,2002-05-29,2002,"Economia, Finanças e Tributos",True
Paraguai,4807,2002-01-15,2002,Cooperação e Desenvolvimento,True
Paraguai,4681,2000-11-13,2000,Cooperação e Desenvolvimento,True
Paraguai,4667,2000-09-20,2000,"Trabalho, Saúde e Previdência",True
Paraguai,4668,2000-09-20,2000,"Economia, Finanças e Tributos",True
Paraguai,4669,2000-09-20,2000,"Trabalho, Saúde e Previdência",True
Paraguai,4629,2000-05-12,2000,Relações Diplomáticas e Consulares,True
Paraguai,4605,2000-02-10,2000,"Direito, Justiça & Segurança Pública",True
Paraguai,4606,2000-02-10,2000,Defesa e Segurança,True
México,7356,2012-08-07,2012,Meio Ambiente e Sustentabilidade,True
México,7317,2012-06-11,2012,Meio Ambiente e Sustentabilidade,True
México,7318,2012-06-11,2012,Meio Ambiente e Sustentabilidade,True
México,7319,2012-06-11,2012,"Trabalho, Saúde e Previdência",True
México,7320,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7321,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7322,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7323,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7324,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7325,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7326,2012-06-11,2012,"Trabalho, Saúde e Previdência",True
México,7327,2012-06-11,2012,"Agricultura, Pecuária e Pesca",True
México,7188,2011-09-06,2011,Consulares e Migratórios,True
México,6635,2010-02-23,2010,"Direito, Justiça & Segurança Pública",True
México,6439,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6440,2009-08-11,2009,"Trabalho, Saúde e Previdência",True
México,6441,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6442,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6443,2009-08-11,2009,"Trabalho, Saúde e Previdência",True
México,6444,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6445,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6446,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6447,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6448,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6449,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6450,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6451,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6452,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6453,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6454,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6455,2009-08-11,2009,Cooperação e Desenvolvimento,True
México,6456,2009-08-11,2009,"Trabalho, Saúde e Previdência",True
México,6426,2009-07-23,2009,Relações Diplomáticas e Consulares,True
México,5977,2007-11-29,2007,Educação e Cultura,True
México,5883,2007-08-06,2007,"Direito, Justiça & Segurança Pública",True
México,5884,2007-08-06,2007,Energia e Recursos Estratégicos,True
México,5786,2007-03-28,2007,Cooperação e Desenvolvimento,True
México,5016,2003-09-25,2003,"Economia, Finanças e Tributos",True
México,4969,2003-05-13,2003,"Ciência, Tecnologia e Inovação",True
México,4876,2002-07-24,2002,Cooperação e Desenvolvimento,True
México,4712,2001-05-02,2001,"Trabalho, Saúde e Previdência",True
México,4686,2000-11-23,2000,Consulares e Migratórios,True
Indonésia,7231,2011-11-16,2011,Comércio Internacional e Investimentos,True
Indonésia,6274,2008-11-18,2008,Energia e Recursos Estratégicos,True
