query_partner,query_partner_id,act_id,title,normalized_title,instrument_type_derived,date_celebration,year,invalid_date,agreement_type,status,another_party,other_parties,n_other_parties,partner_in_other_parties,subject_names,principal_subjects,n_subjects,signatory_brazil,signatory_other_party,celebration_location,celebration_country,direct_publication,amendment_ids,amended_instrument_ids,replaced_instrument_id,replaced_instrument_title,replacing_instrument_id,replacing_instrument_title,has_explicit_revision_relation,amendment_or_revision_title,strategic_instrument,strategic_rule_match,record_url,full_document_id,full_document_url,n_additional_documents,raw_search_file,raw_detail_file,duplicate_id_within_query,n_partner_queries_for_act,duplicate_id_across_partner_queries,same_title_date_duplicate,missing_date,missing_counterparty,outside_requested_window,analytic_bilateral,same_day_package_size,in_same_day_package
China,58,5248,Acordo de Cooperação para o Combate à Criminalidade Organizada Transnacional e outras Modalidades Delituosas,acordo de cooperacao para o combate a criminalidade organizada transnacional e outras modalidades delituosas,Acordo,2004-11-12,2004,False,BL,Em ratificação da(s) outra(s) Parte(s),China,China,1,True,"Direito, Justiça & Segurança Pública","Direito, Justiça & Segurança Pública",1,Celso Amorim,Li Zhaoxing,Brasília,Brasil,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5248,3856,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3856,2,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5248.json,False,1,False,False,False,False,False,True,8,True
China,58,5249,"Memorando de Entendimento entre o Ministério do Desenvolvimento, Indústria e Comércio da República Federativa do Brasil e a Comissão Nacional de Desenvolvimento e Reforma da República Popular da China em Cooperação Industrial.",memorando de entendimento entre o ministerio do desenvolvimento industria e comercio da republica federativa do brasil e a comissao nacional de desenvolvimento e reforma da republica popular da china em cooperacao industrial,Memorando de Entendimento,2004-11-12,2004,False,BL,Expirado,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Luiz Fernando Furlan,Ma Kai,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5249,3843,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3843,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5249.json,False,1,False,False,False,False,False,True,8,True
China,58,5250,Memorando de Entendimento entre a República Federativa do Brasil e a República Popular da China sobre Cooperação em Matéria de Comércio e Investimento.,memorando de entendimento entre a republica federativa do brasil e a republica popular da china sobre cooperacao em materia de comercio e investimento,Memorando de Entendimento,2004-11-12,2004,False,BL,Superado,China,China,1,True,"Economia, Finanças e Tributos","Economia, Finanças e Tributos",1,Luiz Fernando Furlan,Bo Xi Lai,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5250,3822,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3822,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5250.json,False,1,False,False,False,False,False,True,8,True
China,58,5251,Memorando de Entendimento entre o Ministério do Turismo da República Federativa do Brasil e a Administração Nacional de Turismo da República Popular da China na Facilitação de Viagens de Grupos de Turistas Chineses ao Brasil,memorando de entendimento entre o ministerio do turismo da republica federativa do brasil e a administracao nacional de turismo da republica popular da china na facilitacao de viagens de grupos de turistas chineses ao brasil,Memorando de Entendimento,2004-11-12,2004,False,BL,Em Vigor,China,China,1,True,Serviços e Transporte,Serviços e Transporte,1,Walfrido Mares ,He Guangwei,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5251,3840,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3840,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5251.json,False,1,False,False,False,False,False,True,8,True
China,58,5252,Protocolo Complementar ao Acordo Quadro sobre Cooperação em Aplicações Pacíficas de Ciência e Tecnologia do Espaço Exterior para Cooperação no Sistema de Aplicações CBERS.,protocolo complementar ao acordo quadro sobre cooperacao em aplicacoes pacificas de ciencia e tecnologia do espaco exterior para cooperacao no sistema de aplicacoes cbers,Protocolo Complementar,2004-11-12,2004,False,BL,Em Vigor,China,China,1,True,Mar e Espaço,Mar e Espaço,1,Eduardo Campos,Zang Yunchuan,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5252,3828,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3828,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5252.json,False,1,False,False,False,False,False,True,8,True
China,58,5253,Protocolo Complementar ao Acordo Quadro entre o Governo da República Federativa do Brasil e a República Popular da China sobre Cooperação em Aplicações Pacíficas de Ciência e Tecnologia do Espaço Exterior para o Desenvolvimento Conjunto do Satélite CBERS-2B,protocolo complementar ao acordo quadro entre o governo da republica federativa do brasil e a republica popular da china sobre cooperacao em aplicacoes pacificas de ciencia e tecnologia do espaco exterior para o desenvolvimento conjunto do satelite cbers 2b,Protocolo Complementar,2004-11-12,2004,False,BL,Em Vigor,China,China,1,True,Mar e Espaço,Mar e Espaço,1,Eduardo Campos,Zhang Yunchuan,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5253,3825,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3825,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5253.json,False,1,False,False,False,False,False,True,8,True
China,58,5255,"Protocolo entre o Ministério da Agricultura, Pecuária e Abastecimento da República Federativa do Brasil e a Administração Geral de Supervisão de Qualidade, Inspeção e Quarentena da República Popular da China sobre Quarentena e Condições Sanitárias e Veterinárias de Carne de Aves a ser Exportada do Brasil para a República Popular da China",protocolo entre o ministerio da agricultura pecuaria e abastecimento da republica federativa do brasil e a administracao geral de supervisao de qualidade inspecao e quarentena da republica popular da china sobre quarentena e condicoes sanitarias e veterinarias de carne de aves a ser exportada do brasil para a republica popular da china,Protocolo,2004-11-12,2004,False,BL,Em Vigor,China,China,1,True,"Agricultura, Pecuária e Pesca","Agricultura, Pecuária e Pesca",1,Roberto Rodrigues,LI Changjiang,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5255,3791,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3791,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5255.json,False,1,False,False,False,False,False,True,8,True
China,58,5170,Tratado entre a República Federativa do Brasil e o República Popular da China sobre Assistência Judiciária Mútua em Matéria Penal,tratado entre a republica federativa do brasil e o republica popular da china sobre assistencia judiciaria mutua em materia penal,Tratado,2004-05-24,2004,False,BL,Em Vigor,China,China,1,True,"Direito, Justiça & Segurança Pública","Direito, Justiça & Segurança Pública",1,Celso Amorim,Li Zhaoxing,Pequim,China,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5170,3827,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3827,3,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5170.json,False,1,False,False,False,False,False,True,11,True
China,58,5171,"Acordo entre o Governo da República Federativa do Brasil e o Governo da República Popular da China sobre Isenção de Vistos para Portadores de Passaportes Diplomático, Oficial e de Serviços",acordo entre o governo da republica federativa do brasil e o governo da republica popular da china sobre isencao de vistos para portadores de passaportes diplomatico oficial e de servicos,Acordo,2004-05-24,2004,False,BL,Em Vigor,China,China,1,True,Consulares e Migratórios,Consulares e Migratórios,1,Celso Amorim,Li Zhaoxing,Pequim,China,True,12819,,3536,"Acordo, por Troca de Notas, sobre Vistos de Múltiplas Entradas em Passaportes Diplomáticos e de Serviço, entre o Governo da República Federativa do Brasil e o Governo da República Popular da China.",,,True,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5171,3811,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3811,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5171.json,False,1,False,False,False,False,False,True,11,True
China,58,5172,Memorando de Entendimento entre a República Federativa do Brasil e a República Popular da China sobre o Estabelecimento da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação,memorando de entendimento entre a republica federativa do brasil e a republica popular da china sobre o estabelecimento da comissao sino brasileira de alto nivel de concertacao e cooperacao,Memorando de Entendimento,2004-05-24,2004,False,BL,Em Vigor,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Celso Amorim,Li Shaoxing,Pequim,China,True,,,,,,,False,False,True,"\bcomissao .{0,80}\balto nivel\b",https://concordia.itamaraty.gov.br/detalhamento-acordo/5172,3807,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3807,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5172.json,False,1,False,False,False,False,False,True,11,True
