sample_id,sample_label,anchor_id,anchor_label,anchor_type,year,period,n_resolutions,mean_brazil_china_agreement,mean_brazil_anchor_agreement,mean_relative_agreement_china_minus_anchor,mean_brazil_china_similarity,mean_brazil_anchor_similarity,mean_relative_similarity_china_minus_anchor,mean_anchor_valid_members
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2008,Pre-2009,19,0.7368421052631579,0.7368421052631579,0,0.8421052631578947,0.8421052631578947,0,2
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2009,Post-2009,16,0.8125,0.8125,0,0.90625,0.90625,0,2
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2010,Post-2009,14,1,1,0,1,1,0,2
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2011,Post-2009,23,0.8260869565217391,0.8260869565217391,0,0.8913043478260869,0.9130434782608695,-0.021739130434782615,3
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2012,Post-2009,19,0.8421052631578947,0.8421052631578947,0,0.8947368421052632,0.9210526315789473,-0.02631578947368422,2.9473684210526314
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2005,Pre-2009,20,0.75,0.75,0,0.8,0.9,-0.09999999999999999,110
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2006,Pre-2009,27,0.6666666666666666,0.7777777777777778,-0.1111111111111111,0.7777777777777778,0.8888888888888888,-0.11111111111111108,116.96296296296296
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2007,Pre-2009,25,0.72,0.8,-0.08,0.8200000000000001,0.9,-0.08,115.92
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2008,Pre-2009,24,0.7083333333333334,0.7916666666666666,-0.08333333333333333,0.8333333333333334,0.8958333333333333,-0.0625,115.91666666666667
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2009,Post-2009,22,0.7727272727272727,0.9090909090909091,-0.13636363636363635,0.8863636363636364,0.9545454545454546,-0.0681818181818182,117.27272727272727
