iso3c,treated_unit,first_treated_year,n_years,cor_bsv_dm,mean_abs_diff,mean_bsv_pre,mean_dm_pre,mean_bsv_treated,mean_dm_treated,within_change_bsv,within_change_dm
AGO,TRUE,2007,31,0.6982441351485916,0.20047076448753348,0.5133491823529412,0.6175158492202094,0.22332715000000003,0.23383232720992655,-0.2900220323529412,-0.3836835220102829
MMR,TRUE,2014,31,0.5437167625548357,0.19268709359664574,0.4499621666666666,0.3726929468332623,0.3452517714285714,0.2938731717941873,-0.10471039523809522,-0.078819775039075
ERI,TRUE,2014,28,0.8721520834172708,0.18815210218252332,0.3820650285714286,0.5133177993071609,0.27601174285714286,0.17474006842761758,-0.10605328571428574,-0.33857773087954335
IDN,TRUE,2016,30,0.5508754141300848,0.18780136962914065,0.343178044,0.22810998874692295,0.5081916999999999,0.18380323859277742,0.1650136559999999,-0.044306750154145536
KWT,TRUE,2018,31,0.7590840145260118,0.18467957624581086,0.43976749642857144,0.4979239766990412,0.28721953333333333,0.34417433938351666,-0.1525479630952381,-0.15374963731552455
SAU,TRUE,2013,31,0.5782430370477083,0.1840673255353022,0.393467152173913,0.420032417220579,0.2676616375,0.36082668810304314,-0.125805514673913,-0.059205729117535855
MRT,TRUE,2006,30,0.6395840701525819,0.1837979446244985,0.54503314,0.39840123336959526,0.23100804,0.21209935568953264,-0.31402510000000006,-0.18630187768006262
BRA,TRUE,2009,31,0.8584360551082808,0.18378817300324257,0.7329076151052631,0.8316285591736585,0.32843154083333337,0.48372443082561967,-0.4044760742719298,-0.34790412834803885
RUS,TRUE,2012,29,0.9535279044673317,0.17724987026091077,1.268681878,1.3487619932785633,0.6233419744444444,0.4576537366602505,-0.6453399035555556,-0.8911082566183128
MYS,TRUE,2009,31,0.6536721709474358,0.17569183986435805,0.3947448157894737,0.32651087740632234,0.22837196666666668,0.18464404010970492,-0.166372849122807,-0.14186683729661742
ZAF,TRUE,2009,27,0.8966010259528806,0.1702663121208148,0.634756458,0.8157790018950271,0.21256968333333334,0.2562380412526969,-0.42218677466666665,-0.5595409606423302
SLE,TRUE,2012,31,0.6791757736225782,0.1637639944622447,0.39125085000000004,0.4434196529207239,0.18129346666666665,0.36183020668853155,-0.20995738333333339,-0.08158944623219233
THA,TRUE,2008,31,0.6573733177451596,0.16167686845630602,0.4664904177777778,0.5419201276200858,0.22868116153846155,0.36298953642011944,-0.23780925623931623,-0.17893059119996635
KAZ,TRUE,2007,29,0.9536602304709053,0.15582661060946976,1.24820687,1.3761609786236888,0.3023558214285714,0.3345250389003116,-0.9458510485714285,-1.0416359397233772
COG,TRUE,2011,28,0.8451771412467125,0.14675661542205912,0.4491175326111111,0.4866308531132651,0.23993004,0.1980921830363216,-0.20918749261111108,-0.2885386700769435
MCO,FALSE,NA,10,0.4465756032231326,0.4651960720653548,2.21368552,2.6617781613019527,NA,NA,NA,NA
NRU,FALSE,NA,21,0.9023837531693141,0.3506619017823834,1.4450192047619048,1.6332308289546902,NA,NA,NA,NA
KIR,FALSE,NA,21,0.758513735641323,0.3139639975658176,0.9725134886666666,1.1062686599713132,NA,NA,NA,NA
GRC,FALSE,NA,31,0.8239870407632394,0.2942350544156328,1.7249650612903227,1.9504454086543195,NA,NA,NA,NA
GEO,FALSE,NA,28,0.8897887853899895,0.2898627450000155,1.694676275,1.8911328711727298,NA,NA,NA,NA
TUV,FALSE,NA,20,0.8898986199870801,0.279843476714944,0.666166653,0.9405988220106549,NA,NA,NA,NA
DOM,FALSE,NA,29,0.7428927879740421,0.27763919013811006,0.4620632375517241,0.6857704062482101,NA,NA,NA,NA
TON,FALSE,NA,22,0.625792042519947,0.2694358430640255,0.8626418713636363,1.131319318245151,NA,NA,NA,NA
SVK,FALSE,NA,28,0.8562096049716685,0.2693869539939277,1.8906409392857142,2.123797646162652,NA,NA,NA,NA
LUX,FALSE,NA,22,0.4930781588695964,0.2653284012719521,1.675290540909091,1.9404426730740114,NA,NA,NA,NA
SMR,FALSE,NA,21,0.6113822933212217,0.262572844121786,1.4660283666666667,1.7273005557776662,NA,NA,NA,NA
ITA,FALSE,NA,31,0.9034764966543142,0.26116667531632337,1.8955601451612905,2.1179564651558334,NA,NA,NA,NA
LVA,FALSE,NA,29,0.8392597661024565,0.26090286217927455,1.9438617724137932,2.1429087958822564,NA,NA,NA,NA
BEL,FALSE,NA,22,0.5092649824649581,0.25870943767744375,1.7251571,1.9833643370780236,NA,NA,NA,NA
CZE,FALSE,NA,28,0.8480553993244369,0.25786286940997316,1.9857690142857143,2.2011560363335247,NA,NA,NA,NA
