,partner_A,ISO3_A,partner_B,ISO3_B,startyear,endyear,swap_Asize,swap_Bsize,ccode_A,ccode_B
115,European Central Bank,ECB,Canada,CAN,2013,2014,NA,NA,NA,20
116,European Central Bank,ECB,Canada,CAN,2013,NA,NA,NA,NA,20
117,European Central Bank,ECB,Switzerland,CHE,2008,2009,NA,NA,NA,225
118,European Central Bank,ECB,Switzerland,CHE,2011,2013,NA,NA,NA,225
119,European Central Bank,ECB,Switzerland,CHE,2013,2014,NA,NA,NA,225
120,European Central Bank,ECB,Switzerland,CHE,2013,NA,NA,NA,NA,225
121,European Central Bank,ECB,Denmark,DNK,2008,NA,120,NA,NA,390
122,European Central Bank,ECB,Denmark,DNK,2020,NA,240,NA,NA,390
123,European Central Bank,ECB,Sweden,SWE,2007,NA,100,NA,NA,380
124,Japan,JPN,Canada,CAN,2011,2013,NA,NA,740,20
125,Japan,JPN,Canada,CAN,2013,2014,NA,NA,740,20
126,Japan,JPN,Canada,CAN,2013,NA,NA,NA,740,20
127,Japan,JPN,Switzerland,CHE,2011,2013,NA,NA,740,225
128,Japan,JPN,Switzerland,CHE,2013,2014,NA,NA,740,225
129,Japan,JPN,Switzerland,CHE,2013,NA,NA,NA,740,225
130,Japan,JPN,European Central Bank,ECB,2011,2013,NA,NA,740,NA
131,Japan,JPN,European Central Bank,ECB,2013,2014,NA,NA,740,NA
132,Japan,JPN,European Central Bank,ECB,2013,NA,NA,NA,740,NA
133,Japan,JPN,Australia,AUS,2016,2019,16000,200,740,900
134,Japan,JPN,Australia,AUS,2019,2022,16000,200,740,900
135,Japan,JPN,Singapore,SGP,2005,NA,NA,NA,740,830
136,Japan,JPN,Singapore,SGP,2015,NA,NA,NA,740,830
137,Japan,JPN,Singapore,SGP,2016,2019,11000,150,740,830
138,Japan,JPN,Singapore,SGP,2018,NA,NA,NA,740,830
139,Japan,JPN,Singapore,SGP,2019,2022,11000,150,740,830
140,Japan,JPN,Singapore,SGP,2021,NA,NA,NA,740,830
141,Japan,JPN,Thailand,THA,2007,2017,NA,NA,740,800
142,Japan,JPN,Thailand,THA,2017,NA,NA,NA,740,800
143,Japan,JPN,Thailand,THA,2018,2021,NA,NA,740,800
144,Japan,JPN,Thailand,THA,2020,2023,8000,2400,740,800
145,Japan,JPN,Thailand,THA,2022,NA,NA,NA,740,800
146,Japan,JPN,South Korea,KOR,2008,2009,NA,NA,740,732
147,Japan,JPN,South Korea,KOR,2009,2009,NA,NA,740,732
148,Japan,JPN,South Korea,KOR,2009,2010,NA,NA,740,732
149,Japan,JPN,South Korea,KOR,2010,2010,NA,NA,740,732
150,Japan,JPN,South Korea,KOR,2011,2012,NA,NA,740,732
151,Japan,JPN,India,IND,2008,2011,NA,NA,740,750
152,Japan,JPN,India,IND,2012,2015,NA,NA,740,750
153,Japan,JPN,India,IND,2014,2015,NA,NA,740,750
154,Japan,JPN,India,IND,2019,NA,NA,NA,740,750
155,Japan,JPN,Indonesia,IDN,2009,2013,NA,NA,740,850
156,Japan,JPN,Indonesia,IDN,2013,NA,NA,NA,740,850
157,Japan,JPN,Indonesia,IDN,2018,NA,NA,NA,740,850
158,Japan,JPN,Indonesia,IDN,2021,NA,NA,NA,740,850
159,Japan,JPN,Philippines,PHL,2006,2009,NA,NA,740,840
160,Japan,JPN,Philippines,PHL,2014,NA,NA,NA,740,840
161,Japan,JPN,Philippines,PHL,2017,NA,NA,NA,740,840
162,Sweden,SWE,Iceland,ISL,2008,2008,NA,NA,380,395
163,Sweden,SWE,Iceland,ISL,2008,2009,NA,NA,380,395
164,Sweden,SWE,Latvia,LVA,2008,2009,NA,NA,380,367
165,Sweden,SWE,Latvia,LVA,2009,2009,NA,NA,380,367
166,Sweden,SWE,Latvia,LVA,2009,2010,NA,NA,380,367
167,Sweden,SWE,Estonia,EST,2009,2009,100,NA,380,366
168,Sweden,SWE,Ukraine,UKR,2015,NA,NA,NA,380,369
169,Norway,NOR,Iceland,ISL,2008,2008,NA,NA,385,395
170,Norway,NOR,Iceland,ISL,2008,2009,NA,NA,385,395
171,Denmark,DNK,Iceland,ISL,2008,2008,NA,NA,390,395
172,Denmark,DNK,Iceland,ISL,2008,2009,NA,NA,390,395
173,Denmark,DNK,Latvia,LVA,2008,NA,NA,NA,390,367
174,Canada,CAN,South Korea,KOR,2017,NA,NA,NA,20,732
175,Canada,CAN,Switzerland,CHE,2011,2013,NA,NA,20,225
176,Canada,CAN,Switzerland,CHE,2013,2014,NA,NA,20,225
177,Canada,CAN,Switzerland,CHE,2013,NA,NA,NA,20,225
178,Switzerland,CHE,South Korea,KOR,2018,NA,100,112000,225,732
179,Switzerland,CHE,South Korea,KOR,2021,2026,100,NA,225,732
180,Switzerland,CHE,Poland,POL,2008,2009,NA,NA,225,290
181,Switzerland,CHE,Poland,POL,2012,NA,NA,NA,225,290
182,Switzerland,CHE,Hungary,HUN,2009,2010,NA,NA,225,310
183,South Korea,KOR,Australia,AUS,2014,2017,50000,50,732,900
184,South Korea,KOR,Australia,AUS,2017,2020,90000,100,732,900
185,South Korea,KOR,Australia,AUS,2020,2023,96000,120,732,900
186,South Korea,KOR,Indonesia,IDN,2013,2016,107000,1150000,732,850
187,South Korea,KOR,Indonesia,IDN,2017,2020,107000,1150000,732,850
188,South Korea,KOR,Indonesia,IDN,2020,2023,107000,1150000,732,850
189,South Korea,KOR,Malaysia,MYS,2013,2016,50000,150,732,820
190,South Korea,KOR,Malaysia,MYS,2017,2020,50000,150,732,820
191,South Korea,KOR,Malaysia,MYS,2020,2023,50000,150,732,820
192,South Korea,KOR,United Arab Emirates,ARE,2013,2016,58000,200,732,696
193,South Korea,KOR,United Arab Emirates,ARE,2019,2022,61000,200,732,696
194,Australia,AUS,Indonesia,IDN,2015,2018,100,1.00E+06,900,850
195,Australia,AUS,Indonesia,IDN,2018,2021,100,1.00E+06,900,850
196,India,IND,United Arab Emirates,ARE,2018,NA,350,20,750,696
197,India,IND,Sri Lanka,LKA,2015,2018,NA,NA,750,780
198,India,IND,Sri Lanka,LKA,2015,2016,NA,NA,750,780
199,India,IND,Sri Lanka,LKA,2016,2016,NA,NA,750,780
200,India,IND,Sri Lanka,LKA,2019,NA,NA,NA,750,780
201,India,IND,Bhutan,BTN,2013,2016,NA,NA,750,760
202,India,IND,Bhutan,BTN,2016,2019,NA,NA,750,760
203,Indonesia,IDN,Singapore,SGP,2018,2019,1000000,95,850,830
204,Indonesia,IDN,Singapore,SGP,2019,2020,1000000,95,850,830
205,Indonesia,IDN,Malaysia,MYS,2019,2022,20,20,850,830
206,Malaysia,MYS,Japan ,JPN,2017,2020,NA,NA,820,740
207,Malaysia,MYS,Japan ,JPN,2020,NA,NA,NA,820,740
208,Qatar,QAT,Turkey,TUR,2018,NA,NA,NA,694,640
209,Qatar,QAT,Turkey,TUR,2021,2024,NA,NA,694,640
210,Turkey,TUR,South Korea,KOR,2021,2024,23000,175,640,732
211,Turkey ,TUR,Pakistan,PAK,2012,2015,NA,NA,640,732
