partner,year,n_new_coauthored_families,post_2009,window_2005_2012,share_all_brazilian_submissions_with_partner,denominator_status
IDN,2001,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2002,1,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2003,1,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2004,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2005,2,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2006,1,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2007,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2008,4,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2009,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2010,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2011,2,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2012,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2013,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IDN,2014,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2000,1,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2001,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2002,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2003,5,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2004,8,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2005,8,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2006,5,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2007,1,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2008,4,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2009,4,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2010,3,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2011,2,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2012,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2013,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
IND,2014,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2000,1,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2001,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2002,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2003,7,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2004,6,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2005,6,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2006,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2007,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2008,1,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2009,4,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2010,1,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2011,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2012,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2013,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
MEX,2014,1,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2000,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2001,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2002,3,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2003,4,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2004,2,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2005,4,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2006,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2007,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2008,2,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2009,1,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2010,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2011,1,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2012,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2013,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
TUR,2014,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2000,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2001,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2002,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2003,2,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2004,0,0,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2005,2,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2006,1,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2007,0,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2008,1,0,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2009,2,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2010,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2011,1,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2012,0,1,1,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2013,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
ZAF,2014,0,1,0,,indisponível: o piloto não coletou todas as submissões brasileiras
