"country","year","ideal_point"
"BLZ",2002,1.13279637899373
"BOL",2002,0.768328743993269
"BRA",2002,0.102066546634928
"BRB",2002,1.26443717791768
"BRN",2002,3.24911374325853
"BTN",2002,1.50491919795122
"BWA",2002,1.36838619514671
"CAF",2002,1.49610242749481
"CAN",2002,-5.22295470563825
"CHE",2002,-2.49630962848396
"CHL",2002,0.448878179742544
"CHN",2002,0.599407553841885
"CIV",2002,1.43022527929048
"CMR",2002,1.3842450228596
"COD",2002,1.71484290861532
"COG",2002,1.62253082034164
"COL",2002,0.852482422365414
"COM",2002,3.54041524940106
"CPV",2002,1.13019791347434
"CRI",2002,0.129473827341598
"CUB",2002,2.95712824053597
"CYP",2002,0.264506066282367
"CZE",2002,-4.67487927915128
"DEU",2002,-5.05340818628114
"DJI",2002,3.68226680533246
"DMA",2002,0.373709566042722
"DNK",2002,-6.55613614191279
"DOM",2002,0.794655805163635
"DZA",2002,3.85936988266818
"ECU",2002,0.656784275417389
"EGY",2002,4.48303227557247
"ERI",2002,1.52785139270058
"ESP",2002,-6.27722169427806
"EST",2002,-2.86145878766506
"ETH",2002,1.45323740097303
"FIN",2002,-6.77196899224988
"FJI",2002,0.305967910707446
"FRA",2002,-6.18370530561289
"FSM",2002,0.349168082451016
"GAB",2002,1.41483975993516
"GBR",2002,-6.58426535570912
"GEO",2002,-1.72426383768238
"GHA",2002,1.30513190150717
"GIN",2002,2.71305261250511
"GMB",2002,1.59446007678287
"GNB",2002,1.50220074799382
"GNQ",2002,1.59932059466682
"GRC",2002,-6.06956962999042
"GRD",2002,1.26315507727692
"GTM",2002,0.527496523257604
"GUY",2002,1.49917280153674
"HND",2002,1.07932057749946
"HRV",2002,-3.29162112515384
"HTI",2002,0.356721526307903
"HUN",2002,-5.06959844251404
"IDN",2002,3.46590135277177
"IND",2002,1.23959958806801
"IRL",2002,-6.03310655978732
"IRN",2002,2.16870203974136
"IRQ",2002,2.23542528984022
"ISL",2002,-3.75221653639399
"ISR",2002,-1.33803812197345
"ITA",2002,-6.2622591529145
"JAM",2002,1.38464037947737
"JOR",2002,3.5314284910282
"JPN",2002,-3.34039797878131
"KAZ",2002,-1.14218803366831
"KEN",2002,1.55937453381238
"KGZ",2002,-1.07686874329102
"KHM",2002,1.47089841771475
"KIR",2002,0.397952186654221
"KNA",2002,0.416351845516545
"KOR",2002,-2.36103494077023
"KWT",2002,3.70770252046698
"LAO",2002,1.89047167359498
"LBN",2002,2.35831615548717
"LBR",2002,1.2636089168236
"LBY",2002,2.45507104850034
"LCA",2002,1.39136307110277
"LIE",2002,-3.06686172821852
"LKA",2002,1.59255016678634
"LSO",2002,1.47130317646155
"LTU",2002,-4.14032897641965
"LUX",2002,-5.97588170759181
"LVA",2002,-3.23345647649871
"MAR",2002,3.39708191314299
"MCO",2002,-3.34324431972506
"MDA",2002,-2.6476395608412
"MDG",2002,1.17756353248309
"MDV",2002,1.55582757828206
"MEX",2002,-1.1400910212814
"MHL",2002,0.344795608023051
"MKD",2002,-3.22596904491766
"MLI",2002,2.52807536307706
"MLT",2002,0.412899002642609
"MMR",2002,1.82680408429661
"MNE",2002,-0.992820684482767
"MNG",2002,0.855781003211263
"MOZ",2002,1.37860573313543
"MRT",2002,3.11683595276956
"MUS",2002,1.46050567754813
"MWI",2002,1.30652525183999
"MYS",2002,3.59144053464356
"NAM",2002,2.50281089932535
"NER",2002,1.6349498984878
"NGA",2002,1.39251584605134
"NIC",2002,0.727887597826212
"NLD",2002,-6.94739094098567
"NOR",2002,-5.00263428703563
"NPL",2002,1.38962980395295
"NRU",2002,0.345421676695995
"NZL",2002,-3.00670319844834
"OMN",2002,3.76264438369917
"PAK",2002,2.68388293485435
