weight_rank,iso3c,country_name,region,latin_america,unit_weight,high_weight_donor,mean_china_export_share_post_treatment,mean_china_export_share_pre_treatment,max_china_export_share_post_treatment,max_china_export_share_pre_treatment,mean_china_rank_post_treatment,mean_china_rank_pre_treatment,min_china_rank_post_treatment,min_china_rank_pre_treatment,ever_china_top_export_destination_post_treatment,ever_china_top_export_destination_pre_treatment,ever_china_top_two_export_destination_post_treatment,ever_china_top_two_export_destination_pre_treatment,delta_mean_china_export_share_post_minus_pre,china_exposure_flag
66,ITA,Italy,Europe & Central Asia,FALSE,0.007700017685660637,FALSE,0.030378914778267343,0.015058124432581862,0.0341889941001587,0.01953501589987517,7.428571428571429,14,7,11,FALSE,FALSE,FALSE,FALSE,0.015320790345685481,No top-two China export-destination exposure
67,MAR,Morocco,Middle East & North Africa,FALSE,0.007067030770360607,FALSE,0.017731186122499736,0.011470042967536306,0.020853511153654976,0.016190541791698692,11.285714285714286,14.25,10,10,FALSE,FALSE,FALSE,FALSE,0.0062611431549634295,No top-two China export-destination exposure
68,BTN,Bhutan,South Asia,FALSE,0.006152673384217505,FALSE,4.645070198038658e-4,5.763789654190121e-4,0.0013382730934383125,0.0032601673816315714,22.428571428571427,31,11,9,FALSE,FALSE,FALSE,FALSE,-1.1187194561514629e-4,No top-two China export-destination exposure
69,GBR,United Kingdom,Europe & Central Asia,FALSE,0.006076574806106689,FALSE,0.027785781913072075,0.012485732137988002,0.04189337059088279,0.019327693706349104,10.285714285714286,17.916666666666668,7,15,FALSE,FALSE,FALSE,FALSE,0.015300049775084073,No top-two China export-destination exposure
70,USA,United States,North America,FALSE,0.00451554338020511,FALSE,0.07563932975387819,0.033934600362156946,0.0916436095232332,0.04926876361879803,3.7142857142857144,7.75,3,6,FALSE,FALSE,FALSE,FALSE,0.04170472939172124,No top-two China export-destination exposure
71,CAN,Canada,North America,FALSE,0.003984397797692968,FALSE,0.04301359064057133,0.01661516347849035,0.05673432430219899,0.025535722680162617,2,5,2,3,FALSE,FALSE,TRUE,FALSE,0.02639842716208098,China top-two export destination post-2009
72,LKA,Sri Lanka,South Asia,FALSE,0.003973136935312866,FALSE,0.018553039624948798,0.0036516530297072873,0.0328079299399974,0.007370910615497671,12.428571428571429,35.25,6,22,FALSE,FALSE,FALSE,FALSE,0.014901386595241511,No top-two China export-destination exposure
73,BWA,Botswana,Sub-Saharan Africa,FALSE,0.003566118593776276,FALSE,0.023618576933209054,0.03481262757681975,0.03047654359314737,0.33886085075702954,9.142857142857142,28.083333333333332,7,2,FALSE,FALSE,FALSE,TRUE,-0.011194050643610697,No top-two China export-destination exposure
74,IRL,Ireland,Europe & Central Asia,FALSE,0.003153445343049493,FALSE,0.02444408119226074,0.007629522505099687,0.026282678201442516,0.019536208647146013,10.285714285714286,21.166666666666668,9,11,FALSE,FALSE,FALSE,FALSE,0.016814558687161054,No top-two China export-destination exposure
75,LBY,Libya,Middle East & North Africa,FALSE,0.002112438842025348,FALSE,0.07978414749965865,0.015792285957021066,0.11051362737526643,0.04407831533187076,5,14.833333333333334,3,6,FALSE,FALSE,FALSE,FALSE,0.06399186154263758,No top-two China export-destination exposure
