variant,event_time,count,att,se,ci_lo,ci_hi
BSV common window,4,34,-0.08142870848924776,0.05003792421174301,-0.17950303994426406,0.016645622965768547
BSV common window,5,32,-0.10694776256494287,0.05245611991126944,-0.20976175759103097,-0.004133767538854777
BSV common window,6,31,-0.10460761507656977,0.06342682815006506,-0.2289241982506973,0.01970896809755776
BSV common window,7,30,-0.08662730070729951,0.06677973804160965,-0.21751558726885442,0.04426098585425539
BSV common window,8,27,-0.17122974207160538,0.08464494064421905,-0.33713382573427475,-0.005325658408936035
BSV common window,9,24,-0.19598977210752508,0.07618081968936963,-0.34530417869868957,-0.04667536551636062
BSV common window,10,22,-0.14984531891518313,0.09632726347971335,-0.3386467553354213,0.03895611750505504
BSV common window,11,21,-0.17568304353357198,0.0857568431060075,-0.3437664560213467,-0.007599631045797278
BSV common window,12,18,-0.13631551080941864,0.11190252531101134,-0.3556444604190009,0.0830134388001636
BSV common window,13,12,-0.05030442231840229,0.07784099259483204,-0.2028727678042731,0.10226392316746852
BSV common window,14,9,-0.07562603270388885,0.12320842661662211,-0.31711454887246815,0.16586248346469049
BSV common window,15,6,-0.01526391361953126,0.12712091127671807,-0.2644208997218987,0.23389307248283617
BSV common window,16,5,0.0927836971423763,0.13339943394939038,-0.16867919339842882,0.3542465876831814
BSV common window,17,4,0.012536532268378229,0.11420704944667344,-0.21130928464710172,0.23638234918385817
BSV common window,18,2,0.27841940339301674,0.08536215109444317,0.11110958724790812,0.4457292195381254
UNGA-DM common window,-27,1,0.26123501464120075,0.042692310376739324,0.17755808630279168,0.3449119429796098
UNGA-DM common window,-26,2,-0.005233075979298243,0.03670798750523165,-0.07718073148955228,0.06671457953095579
UNGA-DM common window,-25,3,9.201453031620899e-5,0.1510359382890459,-0.29593842451621377,0.2961224535768462
UNGA-DM common window,-24,3,0.1880223143561436,0.19919070570419473,-0.20239146882407802,0.5784360975363653
UNGA-DM common window,-23,4,0.08517041057811814,0.17586624650349897,-0.25952743256873984,0.4298682537249761
UNGA-DM common window,-22,7,3.8058596622134573e-4,0.06881824611769348,-0.1345031764244579,0.13526434835690057
