reason,iso3c,n
beyond UNGA-DM endpoint (year > 2020),HRV,2
beyond UNGA-DM endpoint (year > 2020),HTI,2
beyond UNGA-DM endpoint (year > 2020),HUN,2
beyond UNGA-DM endpoint (year > 2020),IDN,2
beyond UNGA-DM endpoint (year > 2020),IND,2
beyond UNGA-DM endpoint (year > 2020),IRL,2
beyond UNGA-DM endpoint (year > 2020),ISL,2
beyond UNGA-DM endpoint (year > 2020),ISR,2
beyond UNGA-DM endpoint (year > 2020),ITA,2
beyond UNGA-DM endpoint (year > 2020),JAM,2
beyond UNGA-DM endpoint (year > 2020),JOR,2
beyond UNGA-DM endpoint (year > 2020),JPN,2
beyond UNGA-DM endpoint (year > 2020),KAZ,2
beyond UNGA-DM endpoint (year > 2020),KEN,2
beyond UNGA-DM endpoint (year > 2020),KHM,2
beyond UNGA-DM endpoint (year > 2020),KIR,2
beyond UNGA-DM endpoint (year > 2020),KNA,2
beyond UNGA-DM endpoint (year > 2020),KOR,2
beyond UNGA-DM endpoint (year > 2020),KWT,2
beyond UNGA-DM endpoint (year > 2020),LBN,2
beyond UNGA-DM endpoint (year > 2020),LBY,2
beyond UNGA-DM endpoint (year > 2020),LCA,2
beyond UNGA-DM endpoint (year > 2020),LKA,2
beyond UNGA-DM endpoint (year > 2020),LSO,2
beyond UNGA-DM endpoint (year > 2020),LTU,2
beyond UNGA-DM endpoint (year > 2020),LUX,2
beyond UNGA-DM endpoint (year > 2020),LVA,2
beyond UNGA-DM endpoint (year > 2020),MAR,2
beyond UNGA-DM endpoint (year > 2020),MDA,2
beyond UNGA-DM endpoint (year > 2020),MDG,2
beyond UNGA-DM endpoint (year > 2020),MDV,2
beyond UNGA-DM endpoint (year > 2020),MEX,2
beyond UNGA-DM endpoint (year > 2020),MHL,2
beyond UNGA-DM endpoint (year > 2020),MKD,2
beyond UNGA-DM endpoint (year > 2020),MMR,2
beyond UNGA-DM endpoint (year > 2020),MNE,2
beyond UNGA-DM endpoint (year > 2020),MRT,2
beyond UNGA-DM endpoint (year > 2020),MUS,2
beyond UNGA-DM endpoint (year > 2020),MWI,2
beyond UNGA-DM endpoint (year > 2020),MYS,2
beyond UNGA-DM endpoint (year > 2020),NAM,2
beyond UNGA-DM endpoint (year > 2020),NER,2
beyond UNGA-DM endpoint (year > 2020),NGA,2
beyond UNGA-DM endpoint (year > 2020),NIC,2
beyond UNGA-DM endpoint (year > 2020),NLD,2
beyond UNGA-DM endpoint (year > 2020),NOR,2
beyond UNGA-DM endpoint (year > 2020),NPL,2
beyond UNGA-DM endpoint (year > 2020),NRU,2
beyond UNGA-DM endpoint (year > 2020),NZL,2
beyond UNGA-DM endpoint (year > 2020),OMN,2
beyond UNGA-DM endpoint (year > 2020),PAK,2
beyond UNGA-DM endpoint (year > 2020),PER,2
beyond UNGA-DM endpoint (year > 2020),PHL,2
beyond UNGA-DM endpoint (year > 2020),PLW,2
beyond UNGA-DM endpoint (year > 2020),POL,2
beyond UNGA-DM endpoint (year > 2020),PRT,2
beyond UNGA-DM endpoint (year > 2020),PRY,2
beyond UNGA-DM endpoint (year > 2020),ROU,2
beyond UNGA-DM endpoint (year > 2020),RUS,2
beyond UNGA-DM endpoint (year > 2020),RWA,2
beyond UNGA-DM endpoint (year > 2020),SAU,2
beyond UNGA-DM endpoint (year > 2020),SEN,2
beyond UNGA-DM endpoint (year > 2020),SGP,2
beyond UNGA-DM endpoint (year > 2020),SLB,2
beyond UNGA-DM endpoint (year > 2020),SLE,2
beyond UNGA-DM endpoint (year > 2020),SLV,2
beyond UNGA-DM endpoint (year > 2020),SMR,2
beyond UNGA-DM endpoint (year > 2020),SOM,2
beyond UNGA-DM endpoint (year > 2020),STP,2
beyond UNGA-DM endpoint (year > 2020),SUR,2
beyond UNGA-DM endpoint (year > 2020),SVK,2
beyond UNGA-DM endpoint (year > 2020),SVN,2
beyond UNGA-DM endpoint (year > 2020),SWE,2
beyond UNGA-DM endpoint (year > 2020),SWZ,2
beyond UNGA-DM endpoint (year > 2020),SYC,2
beyond UNGA-DM endpoint (year > 2020),SYR,2
beyond UNGA-DM endpoint (year > 2020),TGO,2
beyond UNGA-DM endpoint (year > 2020),THA,1
beyond UNGA-DM endpoint (year > 2020),TJK,2
beyond UNGA-DM endpoint (year > 2020),TKM,2
beyond UNGA-DM endpoint (year > 2020),TON,2
beyond UNGA-DM endpoint (year > 2020),TTO,2
beyond UNGA-DM endpoint (year > 2020),TUN,2
beyond UNGA-DM endpoint (year > 2020),TUR,2
beyond UNGA-DM endpoint (year > 2020),TUV,2
beyond UNGA-DM endpoint (year > 2020),UGA,2
beyond UNGA-DM endpoint (year > 2020),URY,2
beyond UNGA-DM endpoint (year > 2020),USA,2
beyond UNGA-DM endpoint (year > 2020),VCT,2
beyond UNGA-DM endpoint (year > 2020),VUT,2
beyond UNGA-DM endpoint (year > 2020),WSM,2
beyond UNGA-DM endpoint (year > 2020),ZAF,2
