spec_id,outcome,case,placebo_unit,ddd
latam_controls,agreement,URY,JAM,-0.06914487892579277
latam_controls,agreement,URY,KNA,-0.1565443517235607
latam_controls,agreement,URY,LCA,0.05656310478317637
latam_controls,agreement,URY,MEX,0.0839958742131779
latam_controls,agreement,URY,NIC,0.046432239051339017
latam_controls,agreement,URY,PRY,-0.0178545870628704
latam_controls,agreement,URY,SLV,0.02899548910862759
latam_controls,agreement,URY,SUR,-0.030271597449976616
latam_controls,agreement,URY,TTO,0.005982257841852862
latam_controls,agreement,URY,VCT,-0.02667432137966794
displaced_partner,distance,KOR,AFG,0.08080547581164457
displaced_partner,distance,KOR,ALB,0.05031308354117402
displaced_partner,distance,KOR,AND,0.18633874745670936
displaced_partner,distance,KOR,ARE,-0.14781815958032699
displaced_partner,distance,KOR,ARG,-0.11674510425409763
displaced_partner,distance,KOR,ATG,-0.008712380617362637
displaced_partner,distance,KOR,AUT,0.15312319421473503
displaced_partner,distance,KOR,AZE,-0.3442018115820601
displaced_partner,distance,KOR,BGD,-0.17207387684212466
displaced_partner,distance,KOR,BGR,0.23827793628985097
displaced_partner,distance,KOR,BHR,-0.1885687238820113
displaced_partner,distance,KOR,BHS,-0.13884746906517428
displaced_partner,distance,KOR,BLR,-0.33731149493995705
displaced_partner,distance,KOR,BLZ,-0.17984282785495043
displaced_partner,distance,KOR,BOL,-0.04129171101510004
displaced_partner,distance,KOR,BRB,-0.3796815045286854
displaced_partner,distance,KOR,BRN,-0.2630154875408968
displaced_partner,distance,KOR,BTN,-0.17608744246448735
displaced_partner,distance,KOR,BWA,-0.15316720040087448
displaced_partner,distance,KOR,CAN,0.32916542607276306
displaced_partner,distance,KOR,CIV,0.12310366188353081
displaced_partner,distance,KOR,COL,-0.2758061879639348
displaced_partner,distance,KOR,COM,-0.016087923908230113
displaced_partner,distance,KOR,CPV,-0.06886637072274422
displaced_partner,distance,KOR,CRI,0.06748041895811673
displaced_partner,distance,KOR,CYP,0.26192217087684816
displaced_partner,distance,KOR,CZE,0.12762555071072446
displaced_partner,distance,KOR,DEU,0.17300664260423723
displaced_partner,distance,KOR,DJI,0.04268525136486506
displaced_partner,distance,KOR,DMA,-0.15512016867746511
displaced_partner,distance,KOR,DNK,0.006958380449072254
displaced_partner,distance,KOR,DOM,0.38579903151022366
displaced_partner,distance,KOR,DZA,-0.19464248851781382
displaced_partner,distance,KOR,ECU,-0.10526779690944876
displaced_partner,distance,KOR,EGY,-0.24749807970759383
displaced_partner,distance,KOR,ESP,0.10237154154720235
displaced_partner,distance,KOR,EST,0.20505635569780467
displaced_partner,distance,KOR,FIN,0.08283176122014643
