iso3c,estimate_china,rmspe_pre_china,status_china,error_china,estimate_anchor,rmspe_pre_anchor,status_anchor,error_anchor,estimate_difference,status
MAR,0.05421483400427299,0.07782218066261125,estimated,,-0.04607208157562103,0.1088536231505822,estimated,,0.10028691557989403,estimated
MDA,-0.0033044166240674064,0.07524617368512039,estimated,,0.06827103209840972,0.06833107953899038,estimated,,-0.07157544872247712,estimated
MDG,-0.014694386159763657,0.0922448092801851,estimated,,-0.04624278383357557,0.10587523793014976,estimated,,0.031548397673811915,estimated
MDV,0.11163259872693984,0.04504570069554528,estimated,,-0.12587907155423425,0.06834918338917528,estimated,,0.2375116702811741,estimated
MEX,-0.010466581980241715,0.09855262437321392,estimated,,0.04781968769439362,0.07674601662923491,estimated,,-0.058286269674635335,estimated
MUS,-0.07835207786733045,0.047652463632730506,estimated,,-0.0048198400986989775,0.04018204613739997,estimated,,-0.07353223776863148,estimated
MWI,0.09339677171730333,0.15094705469408226,estimated,,-0.30713612752681324,0.12448284797661356,estimated,,0.40053289924411656,estimated
NAM,0.12145406911026761,0.05383262927438529,estimated,,0.20909133376560202,0.050507758202255074,estimated,,-0.0876372646553344,estimated
NGA,-0.029193134559698616,0.1620287615983063,estimated,,0.20360635245804537,0.2269840745765379,estimated,,-0.232799487017744,estimated
NIC,0.34341624961007466,0.13403758918418063,estimated,,0.40784255801641506,0.19152224967761494,estimated,,-0.0644263084063404,estimated
NLD,1.4213578743701812e-4,0.06542449719025799,estimated,,0.0651189190933511,0.03503353291361557,estimated,,-0.06497678330591408,estimated
NOR,-0.0252914729875915,0.06472792766892943,estimated,,0.14552738411736252,0.037951839577985896,estimated,,-0.170818857104954,estimated
PAK,-0.047589712456179316,0.06532466470847541,estimated,,-0.029375042477855096,0.07817949912927474,estimated,,-0.01821466997832422,estimated
PAN,0.25639028509560136,0.06725823417455244,estimated,,0.2269487780407998,0.033190217360464576,estimated,,0.029441507054801558,estimated
PNG,0.07400043425677948,0.20044100152389288,estimated,,0.08498830665800815,0.1692454312715115,estimated,,-0.010987872401228671,estimated
POL,0.005281729876996143,0.04028596679244651,estimated,,0.024493243878065476,0.03038925469083373,estimated,,-0.01921151400106933,estimated
PRT,-0.07366945501104623,0.04093269470660105,estimated,,-0.016143913596288563,0.03392804331511825,estimated,,-0.057525541414757665,estimated
QAT,0.05515987375210781,0.1317670103772343,estimated,,-0.015940364111638124,0.041381795923902384,estimated,,0.07110023786374593,estimated
ROU,-0.056739148878899096,0.03374627233086392,estimated,,-0.05759446341789075,0.029990943046054333,estimated,,8.553145389916528e-4,estimated
RWA,0.11622376959557577,0.21733446297167333,estimated,,-0.04542576396813305,0.22032237981419972,estimated,,0.1616495335637088,estimated
SEN,0.0962692007401074,0.10117096016372405,estimated,,-0.22698465760076683,0.06005977088966026,estimated,,0.3232538583408742,estimated
SGP,-0.07582122680329824,0.07914865196475734,estimated,,0.12890872272581738,0.04591622440735289,estimated,,-0.2047299495291156,estimated
SLV,-0.0723352961879313,0.08151307286836912,estimated,,0.1387017176284677,0.0460985570745848,estimated,,-0.211037013816399,estimated
