weight_rank,iso3c,country_name,region,latin_america,unit_weight,cumulative_weight,uniform_weight,high_weight_donor
37,JAM,Jamaica,Latin America & Caribbean,TRUE,0.012645421736151618,0.6744324569178594,0.010526315789473684,FALSE
38,TGO,Togo,Sub-Saharan Africa,FALSE,0.011722351120224735,0.686154808038084,0.010526315789473684,FALSE
39,MDV,Maldives,South Asia,FALSE,0.011608505141629914,0.697763313179714,0.010526315789473684,FALSE
40,LBN,Lebanon,Middle East & North Africa,FALSE,0.011548159335917138,0.7093114725156311,0.010526315789473684,FALSE
41,LVA,Latvia,Europe & Central Asia,FALSE,0.011423971987132667,0.7207354445027637,0.010526315789473684,FALSE
42,ESP,Spain,Europe & Central Asia,FALSE,0.011132678487376391,0.7318681229901401,0.010526315789473684,FALSE
43,SVN,Slovenia,Europe & Central Asia,FALSE,0.010687692631309089,0.7425558156214492,0.010526315789473684,FALSE
44,BGR,Bulgaria,Europe & Central Asia,FALSE,0.01051142588456842,0.7530672415060177,0.010526315789473684,FALSE
45,MUS,Mauritius,Sub-Saharan Africa,FALSE,0.010493689549936605,0.7635609310559542,0.010526315789473684,FALSE
46,JOR,Jordan,Middle East & North Africa,FALSE,0.01047164990857242,0.7740325809645267,0.010526315789473684,FALSE
47,ROU,Romania,Europe & Central Asia,FALSE,0.010394121927618334,0.784426702892145,0.010526315789473684,FALSE
48,AUT,Austria,Europe & Central Asia,FALSE,0.010123829055123322,0.7945505319472683,0.010526315789473684,FALSE
49,GUY,Guyana,Latin America & Caribbean,TRUE,0.01005418200393799,0.8046047139512064,0.010526315789473684,FALSE
50,CZE,Czechia,Europe & Central Asia,FALSE,0.009954709455066622,0.814559423406273,0.010526315789473684,FALSE
51,DZA,Algeria,Middle East & North Africa,FALSE,0.009877406220523487,0.8244368296267964,0.010526315789473684,FALSE
52,QAT,Qatar,Middle East & North Africa,FALSE,0.009683982023398725,0.8341208116501951,0.010526315789473684,FALSE
53,NAM,Namibia,Sub-Saharan Africa,FALSE,0.009248775090940657,0.8433695867411358,0.010526315789473684,FALSE
54,SWE,Sweden,Europe & Central Asia,FALSE,0.009169768803003532,0.8525393555441394,0.010526315789473684,FALSE
55,FIN,Finland,Europe & Central Asia,FALSE,0.008929208822869293,0.8614685643670087,0.010526315789473684,FALSE
56,NLD,Netherlands,Europe & Central Asia,FALSE,0.008874836875830398,0.870343401242839,0.010526315789473684,FALSE
57,COM,Comoros,Sub-Saharan Africa,FALSE,0.008629499127300008,0.8789729003701391,0.010526315789473684,FALSE
58,UGA,Uganda,Sub-Saharan Africa,FALSE,0.008465707144980204,0.8874386075151193,0.010526315789473684,FALSE
59,SEN,Senegal,Sub-Saharan Africa,FALSE,0.008408002714513408,0.8958466102296326,0.010526315789473684,FALSE
60,GRC,Greece,Europe & Central Asia,FALSE,0.008270001438067427,0.9041166116677001,0.010526315789473684,FALSE
61,PAN,Panama,Latin America & Caribbean,TRUE,0.008240499150702922,0.912357110818403,0.010526315789473684,FALSE
62,ISR,Israel,Middle East & North Africa,FALSE,0.008166943162722111,0.9205240539811251,0.010526315789473684,FALSE
