specification,year_end,iso3c,country_name,role,estimate,rmspe_pre,rmspe_pre_ratio_to_brazil,ever_china_top_original,original_top_years,ever_china_top_goods,goods_top_years,status,error
predetermined_core,2015,KWT,Kuwait,Control placebo,-0.0047231889494347,0.1078937281454838,1.8573989288924162,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,LBN,Lebanon,Control placebo,0.16084191156776442,0.1948937903147368,3.3551117715597045,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,LBY,Libya,Control placebo,-0.5691911074998354,0.16713897377330134,2.8773104442559023,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,LKA,Sri Lanka,Control placebo,0.04679887023161103,0.08070537496398908,1.3893493124257077,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,LTU,Lithuania,Control placebo,0.04596236211604374,0.03789006782929926,0.6522804671918019,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,LVA,Latvia,Control placebo,7.275782985774288e-4,0.04008423360399999,0.6900532018056825,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MAR,Morocco,Control placebo,0.05351533666300412,0.07826597421432864,1.3473548386278504,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MDA,Moldova,Control placebo,5.407745905804793e-4,0.07589059268732334,1.306462460731507,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MDG,Madagascar,Control placebo,-0.01712572347991056,0.09264327396901546,1.5948611730897788,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MDV,Maldives,Control placebo,0.11655224555869316,0.04505246618276318,0.7755817123956599,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MEX,Mexico,Control placebo,-0.01447841513126659,0.09898635127301658,1.704057742647994,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MLT,Malta,Control placebo,-0.07274131732965033,0.09786536201570988,1.6847598253212903,FALSE,,TRUE,2011;2012,estimated,NA
predetermined_core,2015,MUS,Mauritius,Control placebo,-0.07431500238149202,0.04780573042921967,0.8229793707232179,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,MWI,Malawi,Control placebo,0.0917996729769377,0.15008759988033377,2.5837697153431276,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,NAM,Namibia,Control placebo,0.12072254333949456,0.05440626196517452,0.9366080349257564,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,NGA,Nigeria,Control placebo,-0.03715181168678463,0.16229624691278904,2.793942524375468,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,NIC,Nicaragua,Control placebo,0.3492718291013535,0.1337851660461333,2.303122047842439,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,NLD,Netherlands,Control placebo,0.0086111178370312,0.06509246778419393,1.1205718999560461,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,NOR,Norway,Control placebo,-0.02156414732299572,0.06403158701030053,1.102308754850381,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,PAK,Pakistan,Control placebo,-0.04781195765403099,0.06660301733892127,1.1465761281277362,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,PAN,Panama,Control placebo,0.2607573640956782,0.0657868336075477,1.1325254616572207,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,PNG,Papua New Guinea,Control placebo,0.06335942628401756,0.20038490776898787,3.4496417859846003,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,POL,Poland,Control placebo,0.0106751021804923,0.04028226641537041,0.6934623520690694,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,PRT,Portugal,Control placebo,-0.06929452209398797,0.04114207625577407,0.7082640454025643,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,PRY,Paraguay,Control placebo,-0.01859860339094125,0.07198212131297302,1.2391778217714355,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,QAT,Qatar,Control placebo,0.05656226498089239,0.1320472348407359,2.2732034268541907,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,ROU,Romania,Control placebo,-0.04964693242584447,0.03388539777025439,0.5833397603862338,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,RWA,Rwanda,Control placebo,0.1076365258021203,0.21772106804230443,3.7480851346039636,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SEN,Senegal,Control placebo,0.1040336988072813,0.1015871431447722,1.748830577176033,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SLV,El Salvador,Control placebo,-0.06835971896529132,0.08092870490604978,1.3931939547631549,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SUR,Suriname,Control placebo,0.04059121730602397,0.05170984983511016,0.8901890902074789,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SVK,Slovakia,Control placebo,0.01599122594108248,0.03791536737294299,0.6527160008050437,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SVN,Slovenia,Control placebo,-0.11438342241517643,0.02491200467131318,0.4288620996641017,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SWE,Sweden,Control placebo,-0.04952224876480065,0.04382243297048029,0.7544065948956352,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,SWZ,Eswatini,Control placebo,0.03066969384702007,0.11790224111424068,2.029696258751186,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,TCD,Chad,Control placebo,0.06386694829563963,0.1702767252733294,2.9313270805836797,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,TGO,Togo,Control placebo,0.31142801489632843,0.08065243459386966,1.3884379398330173,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,TTO,Trinidad & Tobago,Control placebo,0.06098139797867637,0.05239643751199534,0.9020087505117156,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,TUN,Tunisia,Control placebo,0.089776461947691,0.11913083683549948,2.0508466297313315,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,TUR,Turkey,Control placebo,-0.05300898433644394,0.04562763110884146,0.7854832213711749,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,UGA,Uganda,Control placebo,0.03581652630630706,0.16107615091311095,2.772938476763986,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,UKR,Ukraine,Control placebo,-0.05095708379621021,0.14958507093274906,2.5751186403916466,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,USA,United States,Control placebo,-0.2189182355748462,0.06659980704470927,1.146520862662975,FALSE,,FALSE,,estimated,NA
predetermined_core,2015,VEN,Venezuela,Control placebo,0.31684049900655387,0.13815478674071538,2.3783454082479585,FALSE,,FALSE,,estimated,NA
