min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,clean_single_spell,TTO,Trinidad & Tobago,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,TUN,Tunisia,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,TUR,Turkey,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,TUV,Tuvalu,never_treated,FALSE,0,22,,2001,2022
3,clean_single_spell,UGA,Uganda,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,URY,Uruguay,treated_min5,TRUE,10,23,2013,1990,2022
3,clean_single_spell,USA,United States,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,VCT,St. Vincent & Grenadines,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,VUT,Vanuatu,never_treated,FALSE,0,32,,1990,2022
3,clean_single_spell,WSM,Samoa,never_treated,FALSE,0,33,,1990,2022
3,clean_single_spell,ZAF,South Africa,treated_min5,TRUE,14,15,2009,1994,2022
3,risk_set_restricted,AFG,Afghanistan,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,AGO,Angola,treated_min5,TRUE,16,17,2007,1990,2022
3,risk_set_restricted,ALB,Albania,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,AND,Andorra,never_treated,FALSE,0,30,,1993,2022
3,risk_set_restricted,ARE,United Arab Emirates,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ARG,Argentina,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ATG,Antigua & Barbuda,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,AUS,Australia,treated_min5,TRUE,14,19,2009,1990,2022
3,risk_set_restricted,AUT,Austria,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,AZE,Azerbaijan,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,BDI,Burundi,never_treated,FALSE,0,32,,1990,2022
3,risk_set_restricted,BEL,Belgium,never_treated,FALSE,0,24,,1999,2022
3,risk_set_restricted,BFA,Burkina Faso,treated_min5,TRUE,3,15,2005,1990,2007
3,risk_set_restricted,BGD,Bangladesh,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BGR,Bulgaria,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BHR,Bahrain,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BHS,Bahamas,never_treated,FALSE,0,33,,1990,2022
