min_duration_years,iso3c,country_name,eligible_period_id,period_entry_year,period_exit_year,duration_years,calendar_span_years,qualifies_min5
3,SDN,Sudan,1,2000,2005,6,6,TRUE
3,SDN,Sudan,2,2007,2010,4,4,TRUE
3,SDN,Sudan,3,2013,2013,1,1,FALSE
3,SLB,Solomon Islands,1,2003,2022,20,20,TRUE
3,SLE,Sierra Leone,1,2012,2022,11,11,TRUE
3,TCD,Chad,1,2019,2020,2,2,FALSE
3,THA,Thailand,1,2008,2021,14,14,TRUE
3,TKM,Turkmenistan,1,2010,2022,13,13,TRUE
3,TLS,Timor-Leste,1,2021,2022,2,2,FALSE
3,TZA,Tanzania,1,2011,2011,1,1,FALSE
3,UKR,Ukraine,1,2020,2021,2,2,FALSE
3,URY,Uruguay,1,2013,2022,10,10,TRUE
3,UZB,Uzbekistan,1,2013,2014,2,2,FALSE
3,VEN,Venezuela,1,2021,2021,1,1,FALSE
3,VNM,Vietnam,1,2018,2018,1,1,FALSE
3,YEM,Yemen,1,2003,2003,1,1,FALSE
3,YEM,Yemen,2,2005,2015,11,11,TRUE
3,YEM,Yemen,3,2017,2020,4,4,TRUE
3,YEM,Yemen,4,2022,2022,1,1,FALSE
3,ZAF,South Africa,1,2009,2022,14,14,TRUE
3,ZMB,Zambia,1,2012,2012,1,1,FALSE
3,ZMB,Zambia,2,2014,2015,2,2,FALSE
3,ZMB,Zambia,3,2018,2019,2,2,FALSE
3,ZMB,Zambia,4,2022,2022,1,1,FALSE
3,ZWE,Zimbabwe,1,2011,2017,7,7,TRUE
3,ZWE,Zimbabwe,2,2019,2019,1,1,FALSE
5,AGO,Angola,1,2007,2022,16,16,TRUE
5,ARM,Armenia,1,2015,2015,1,1,FALSE
5,ARM,Armenia,2,2020,2021,2,2,FALSE
5,AUS,Australia,1,2009,2022,14,14,TRUE
5,BEN,Benin,1,2004,2004,1,1,FALSE
5,BEN,Benin,2,2008,2008,1,1,FALSE
5,BEN,Benin,3,2012,2013,2,2,FALSE
5,BFA,Burkina Faso,1,2005,2007,3,3,FALSE
5,BRA,Brazil,1,2009,2022,14,14,TRUE
5,CAF,Central African Republic,1,2013,2014,2,2,FALSE
5,CAF,Central African Republic,2,2018,2018,1,1,FALSE
5,CAF,Central African Republic,3,2020,2020,1,1,FALSE
5,CHL,Chile,1,2007,2022,16,16,TRUE
5,CMR,Cameroon,1,2012,2012,1,1,FALSE
5,CMR,Cameroon,2,2015,2015,1,1,FALSE
5,CMR,Cameroon,3,2017,2019,3,3,FALSE
5,CMR,Cameroon,4,2021,2021,1,1,FALSE
5,COD,Congo - Kinshasa,1,2008,2022,14,15,TRUE
5,COG,Congo - Brazzaville,1,2003,2005,3,3,FALSE
5,COG,Congo - Brazzaville,2,2011,2022,12,12,TRUE
5,CUB,Cuba,1,2004,2015,12,12,TRUE
5,CUB,Cuba,2,2017,2022,6,6,TRUE
5,ERI,Eritrea,1,2014,2022,9,9,TRUE
5,ETH,Ethiopia,1,2009,2010,2,2,FALSE
5,ETH,Ethiopia,2,2012,2012,1,1,FALSE
5,ETH,Ethiopia,3,2016,2017,2,2,FALSE
5,GAB,Gabon,1,2017,2022,6,6,TRUE
5,GHA,Ghana,1,2019,2019,1,1,FALSE
5,GIN,Guinea,1,2019,2019,1,1,FALSE
5,GIN,Guinea,2,2022,2022,1,1,FALSE
5,GMB,Gambia,1,2011,2013,3,3,FALSE
5,GMB,Gambia,2,2015,2017,3,3,FALSE
5,GMB,Gambia,3,2019,2019,1,1,FALSE
5,GNQ,Equatorial Guinea,1,2006,2006,1,1,FALSE
5,GNQ,Equatorial Guinea,2,2013,2015,3,3,FALSE
5,GNQ,Equatorial Guinea,3,2017,2022,6,6,TRUE
5,IDN,Indonesia,1,2013,2013,1,1,FALSE
5,IDN,Indonesia,2,2016,2022,7,7,TRUE
5,IRN,Iran,1,2007,2019,13,13,TRUE
5,IRN,Iran,2,2022,2022,1,1,FALSE
5,IRQ,Iraq,1,2014,2016,3,3,FALSE
5,IRQ,Iraq,2,2019,2022,4,4,FALSE
5,JPN,Japan,1,2008,2022,15,15,TRUE
5,KAZ,Kazakhstan,1,2007,2022,16,16,TRUE
5,KOR,South Korea,1,2003,2022,20,20,TRUE
5,KWT,Kuwait,1,2018,2022,5,5,TRUE
5,LAO,Laos,1,2003,2003,1,1,FALSE
5,LAO,Laos,2,2014,2014,1,1,FALSE
5,LBR,Liberia,1,2012,2012,1,1,FALSE
5,LBR,Liberia,2,2014,2014,1,1,FALSE
5,MLI,Mali,1,2006,2006,1,1,FALSE
5,MLI,Mali,2,2009,2009,1,1,FALSE
5,MLT,Malta,1,2011,2012,2,2,FALSE
5,MLT,Malta,2,2021,2022,2,2,FALSE
5,MMR,Myanmar (Burma),1,2014,2022,9,9,TRUE
5,MOZ,Mozambique,1,2014,2014,1,1,FALSE
5,MRT,Mauritania,1,2006,2022,17,17,TRUE
5,MYS,Malaysia,1,2009,2022,14,14,TRUE
5,NZL,New Zealand,1,2013,2022,10,10,TRUE
5,OMN,Oman,1,2000,2000,1,1,FALSE
5,OMN,Oman,2,2004,2022,19,19,TRUE
5,PAN,Panama,1,2021,2022,2,2,FALSE
5,PER,Peru,1,2010,2022,13,13,TRUE
5,PHL,Philippines,1,2005,2022,18,18,TRUE
5,PNG,Papua New Guinea,1,2018,2019,2,2,FALSE
5,PRK,North Korea,1,2002,2005,4,4,FALSE
5,PRK,North Korea,2,2008,2019,12,12,TRUE
5,PRK,North Korea,3,2022,2022,1,1,FALSE
5,QAT,Qatar,1,2021,2022,2,2,FALSE
5,RUS,Russia,1,2012,2022,11,11,TRUE
5,SAU,Saudi Arabia,1,2013,2022,10,10,TRUE
5,SDN,Sudan,1,2000,2005,6,6,TRUE
5,SDN,Sudan,2,2007,2010,4,4,FALSE
5,SDN,Sudan,3,2013,2013,1,1,FALSE
5,SLB,Solomon Islands,1,2003,2022,20,20,TRUE
5,SLE,Sierra Leone,1,2012,2022,11,11,TRUE
5,TCD,Chad,1,2019,2020,2,2,FALSE
5,THA,Thailand,1,2008,2021,14,14,TRUE
5,TKM,Turkmenistan,1,2010,2022,13,13,TRUE
5,TLS,Timor-Leste,1,2021,2022,2,2,FALSE
5,TZA,Tanzania,1,2011,2011,1,1,FALSE
5,UKR,Ukraine,1,2020,2021,2,2,FALSE
5,URY,Uruguay,1,2013,2022,10,10,TRUE
5,UZB,Uzbekistan,1,2013,2014,2,2,FALSE
5,VEN,Venezuela,1,2021,2021,1,1,FALSE
5,VNM,Vietnam,1,2018,2018,1,1,FALSE
5,YEM,Yemen,1,2003,2003,1,1,FALSE
5,YEM,Yemen,2,2005,2015,11,11,TRUE
5,YEM,Yemen,3,2017,2020,4,4,FALSE
5,YEM,Yemen,4,2022,2022,1,1,FALSE
5,ZAF,South Africa,1,2009,2022,14,14,TRUE
5,ZMB,Zambia,1,2012,2012,1,1,FALSE
5,ZMB,Zambia,2,2014,2015,2,2,FALSE
5,ZMB,Zambia,3,2018,2019,2,2,FALSE
5,ZMB,Zambia,4,2022,2022,1,1,FALSE
5,ZWE,Zimbabwe,1,2011,2017,7,7,TRUE
5,ZWE,Zimbabwe,2,2019,2019,1,1,FALSE
7,AGO,Angola,1,2007,2022,16,16,TRUE
7,ARM,Armenia,1,2015,2015,1,1,FALSE
7,ARM,Armenia,2,2020,2021,2,2,FALSE
7,AUS,Australia,1,2009,2022,14,14,TRUE
7,BEN,Benin,1,2004,2004,1,1,FALSE
7,BEN,Benin,2,2008,2008,1,1,FALSE
7,BEN,Benin,3,2012,2013,2,2,FALSE
7,BFA,Burkina Faso,1,2005,2007,3,3,FALSE
7,BRA,Brazil,1,2009,2022,14,14,TRUE
7,CAF,Central African Republic,1,2013,2014,2,2,FALSE
7,CAF,Central African Republic,2,2018,2018,1,1,FALSE
7,CAF,Central African Republic,3,2020,2020,1,1,FALSE
7,CHL,Chile,1,2007,2022,16,16,TRUE
7,CMR,Cameroon,1,2012,2012,1,1,FALSE
7,CMR,Cameroon,2,2015,2015,1,1,FALSE
7,CMR,Cameroon,3,2017,2019,3,3,FALSE
7,CMR,Cameroon,4,2021,2021,1,1,FALSE
7,COD,Congo - Kinshasa,1,2008,2022,14,15,TRUE
7,COG,Congo - Brazzaville,1,2003,2005,3,3,FALSE
7,COG,Congo - Brazzaville,2,2011,2022,12,12,TRUE
7,CUB,Cuba,1,2004,2015,12,12,TRUE
7,CUB,Cuba,2,2017,2022,6,6,FALSE
7,ERI,Eritrea,1,2014,2022,9,9,TRUE
7,ETH,Ethiopia,1,2009,2010,2,2,FALSE
7,ETH,Ethiopia,2,2012,2012,1,1,FALSE
7,ETH,Ethiopia,3,2016,2017,2,2,FALSE
7,GAB,Gabon,1,2017,2022,6,6,FALSE
7,GHA,Ghana,1,2019,2019,1,1,FALSE
7,GIN,Guinea,1,2019,2019,1,1,FALSE
7,GIN,Guinea,2,2022,2022,1,1,FALSE
7,GMB,Gambia,1,2011,2013,3,3,FALSE
7,GMB,Gambia,2,2015,2017,3,3,FALSE
7,GMB,Gambia,3,2019,2019,1,1,FALSE
7,GNQ,Equatorial Guinea,1,2006,2006,1,1,FALSE
7,GNQ,Equatorial Guinea,2,2013,2015,3,3,FALSE
7,GNQ,Equatorial Guinea,3,2017,2022,6,6,FALSE
7,IDN,Indonesia,1,2013,2013,1,1,FALSE
7,IDN,Indonesia,2,2016,2022,7,7,TRUE
7,IRN,Iran,1,2007,2019,13,13,TRUE
7,IRN,Iran,2,2022,2022,1,1,FALSE
7,IRQ,Iraq,1,2014,2016,3,3,FALSE
7,IRQ,Iraq,2,2019,2022,4,4,FALSE
7,JPN,Japan,1,2008,2022,15,15,TRUE
7,KAZ,Kazakhstan,1,2007,2022,16,16,TRUE
7,KOR,South Korea,1,2003,2022,20,20,TRUE
7,KWT,Kuwait,1,2018,2022,5,5,FALSE
7,LAO,Laos,1,2003,2003,1,1,FALSE
7,LAO,Laos,2,2014,2014,1,1,FALSE
7,LBR,Liberia,1,2012,2012,1,1,FALSE
7,LBR,Liberia,2,2014,2014,1,1,FALSE
7,MLI,Mali,1,2006,2006,1,1,FALSE
7,MLI,Mali,2,2009,2009,1,1,FALSE
7,MLT,Malta,1,2011,2012,2,2,FALSE
7,MLT,Malta,2,2021,2022,2,2,FALSE
7,MMR,Myanmar (Burma),1,2014,2022,9,9,TRUE
7,MOZ,Mozambique,1,2014,2014,1,1,FALSE
7,MRT,Mauritania,1,2006,2022,17,17,TRUE
7,MYS,Malaysia,1,2009,2022,14,14,TRUE
7,NZL,New Zealand,1,2013,2022,10,10,TRUE
7,OMN,Oman,1,2000,2000,1,1,FALSE
7,OMN,Oman,2,2004,2022,19,19,TRUE
7,PAN,Panama,1,2021,2022,2,2,FALSE
7,PER,Peru,1,2010,2022,13,13,TRUE
7,PHL,Philippines,1,2005,2022,18,18,TRUE
7,PNG,Papua New Guinea,1,2018,2019,2,2,FALSE
7,PRK,North Korea,1,2002,2005,4,4,FALSE
7,PRK,North Korea,2,2008,2019,12,12,TRUE
7,PRK,North Korea,3,2022,2022,1,1,FALSE
7,QAT,Qatar,1,2021,2022,2,2,FALSE
7,RUS,Russia,1,2012,2022,11,11,TRUE
7,SAU,Saudi Arabia,1,2013,2022,10,10,TRUE
7,SDN,Sudan,1,2000,2005,6,6,FALSE
7,SDN,Sudan,2,2007,2010,4,4,FALSE
7,SDN,Sudan,3,2013,2013,1,1,FALSE
7,SLB,Solomon Islands,1,2003,2022,20,20,TRUE
7,SLE,Sierra Leone,1,2012,2022,11,11,TRUE
7,TCD,Chad,1,2019,2020,2,2,FALSE
7,THA,Thailand,1,2008,2021,14,14,TRUE
7,TKM,Turkmenistan,1,2010,2022,13,13,TRUE
7,TLS,Timor-Leste,1,2021,2022,2,2,FALSE
7,TZA,Tanzania,1,2011,2011,1,1,FALSE
7,UKR,Ukraine,1,2020,2021,2,2,FALSE
7,URY,Uruguay,1,2013,2022,10,10,TRUE
7,UZB,Uzbekistan,1,2013,2014,2,2,FALSE
7,VEN,Venezuela,1,2021,2021,1,1,FALSE
7,VNM,Vietnam,1,2018,2018,1,1,FALSE
7,YEM,Yemen,1,2003,2003,1,1,FALSE
7,YEM,Yemen,2,2005,2015,11,11,TRUE
7,YEM,Yemen,3,2017,2020,4,4,FALSE
7,YEM,Yemen,4,2022,2022,1,1,FALSE
7,ZAF,South Africa,1,2009,2022,14,14,TRUE
7,ZMB,Zambia,1,2012,2012,1,1,FALSE
7,ZMB,Zambia,2,2014,2015,2,2,FALSE
7,ZMB,Zambia,3,2018,2019,2,2,FALSE
7,ZMB,Zambia,4,2022,2022,1,1,FALSE
7,ZWE,Zimbabwe,1,2011,2017,7,7,TRUE
7,ZWE,Zimbabwe,2,2019,2019,1,1,FALSE
