metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,3,risk_set_restricted,20,3,-0.009535991063156186,0.22767285143706503,-0.45577477987980364,0.4367027977534913
m2_goods_exports_itpde,3,switching_allowed,-27,1,0.19417508288392843,0.0316514590354558,0.13213822317443508,0.2562119425934218
m2_goods_exports_itpde,3,switching_allowed,-26,3,-0.0758299720338039,0.15483981803739008,-0.3793160153870885,0.22765607131948065
m2_goods_exports_itpde,3,switching_allowed,-25,4,-0.0913761642072326,0.11962146986804918,-0.32583424514860904,0.1430819167341438
m2_goods_exports_itpde,3,switching_allowed,-24,4,0.03845092018877075,0.12976206772531612,-0.21588273255284887,0.2927845729303904
m2_goods_exports_itpde,3,switching_allowed,-23,5,-0.016554947517752328,0.1711738200009465,-0.35205563471960744,0.3189457396841028
m2_goods_exports_itpde,3,switching_allowed,-22,8,-0.09866036428510908,0.08348992032044947,-0.26230060811319,0.06497987954297188
m2_goods_exports_itpde,3,switching_allowed,-21,9,0.08255246961741941,0.04849780645687095,-0.012503231038047652,0.17760817027288647
m2_goods_exports_itpde,3,switching_allowed,-20,11,-0.002535103753014597,0.04713184355425504,-0.09491351711935446,0.08984330961332528
m2_goods_exports_itpde,3,switching_allowed,-19,12,-0.03852779753924494,0.048620017858610615,-0.13382303254212174,0.05676743746363186
m2_goods_exports_itpde,3,switching_allowed,-18,15,-0.10197065222052389,0.05686414754683041,-0.2134243814123115,0.009483076971263715
m2_goods_exports_itpde,3,switching_allowed,-17,17,-0.029462906707934045,0.062220452944691744,-0.15141499447952986,0.09248918106366177
m2_goods_exports_itpde,3,switching_allowed,-16,20,-0.051378978981906416,0.054551457480850475,-0.15829983564437333,0.05554187768056051
m2_goods_exports_itpde,3,switching_allowed,-15,20,-0.10803892547181752,0.04282648280634106,-0.191978831772246,-0.02409901917138904
m2_goods_exports_itpde,3,switching_allowed,-14,22,-0.0024560512616939767,0.037082026521561125,-0.07513682324395378,0.07022472072056583
m2_goods_exports_itpde,3,switching_allowed,-13,24,-0.008735359996043152,0.03641339578207791,-0.08010561572891585,0.06263489573682955
m2_goods_exports_itpde,3,switching_allowed,-12,26,0.028379168577443048,0.03952020055934052,-0.049080424518864366,0.10583876167375046
m2_goods_exports_itpde,3,switching_allowed,-11,26,-0.030880217266638737,0.0324704793925799,-0.09452235687609535,0.03276192234281787
m2_goods_exports_itpde,3,switching_allowed,-10,26,0.01712184591095896,0.03630872276335816,-0.054043250705223034,0.08828694252714095
m2_goods_exports_itpde,3,switching_allowed,-9,27,0.003086432283430852,0.032351139983901614,-0.0603218020850163,0.066494666651878
m2_goods_exports_itpde,3,switching_allowed,-8,27,0.023866880914809253,0.029180509826987496,-0.03332691834608624,0.08106068017570474
m2_goods_exports_itpde,3,switching_allowed,-7,27,0.024255158936946734,0.03818718924539286,-0.050591731984023273,0.09910204985791674
m2_goods_exports_itpde,3,switching_allowed,-6,27,0.010414016224389136,0.033638126097240414,-0.05551671092620208,0.07634474337498035
m2_goods_exports_itpde,3,switching_allowed,-5,27,0.03808013311426552,0.029744422225647923,-0.020218934448004405,0.09637920067653545
