min_duration_years,audit_role,iso3c,country_name,first_year_in_panel,last_year_in_panel,trade_years_observed,ever_observed_china_top,first_observed_china_top_year,n_observed_china_top_periods,n_qualifying_periods,n_short_eligible_periods,n_pre_min_entry_periods,n_no_clean_prior_periods,longest_observed_china_top_period,first_qualifying_entry,sample,ever_treated,treated_years,untreated_years,first_treat
3,never_china_top_control,MEX,Mexico,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,MHL,Marshall Islands,1991,2023,32,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,32,
3,never_china_top_control,MKD,North Macedonia,1993,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,MNE,Montenegro,2006,2023,17,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,17,
3,never_china_top_control,MUS,Mauritius,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,MWI,Malawi,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NAM,Namibia,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NER,Niger,1990,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,NGA,Nigeria,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NIC,Nicaragua,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NLD,Netherlands,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NOR,Norway,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NPL,Nepal,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,NRU,Nauru,2000,2023,23,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,23,
