iso3c,old_country_name,old_in_estimation,old_n_obs,old_ever_treated,old_treated_years,old_first_treat,new_country_name,new_in_estimation,new_n_obs,new_ever_treated,new_treated_years,new_first_treat,country_name,classification_change
PLW,Palau,TRUE,25,FALSE,0,,Palau,TRUE,25,FALSE,0,,Palau,unchanged
POL,Poland,TRUE,33,FALSE,0,,Poland,TRUE,33,FALSE,0,,Poland,unchanged
PRT,Portugal,TRUE,33,FALSE,0,,Portugal,TRUE,33,FALSE,0,,Portugal,unchanged
PRY,Paraguay,TRUE,33,FALSE,0,,Paraguay,TRUE,33,FALSE,0,,Paraguay,unchanged
ROU,Romania,TRUE,33,FALSE,0,,Romania,TRUE,33,FALSE,0,,Romania,unchanged
RWA,Rwanda,TRUE,33,FALSE,0,,Rwanda,TRUE,33,FALSE,0,,Rwanda,unchanged
SAU,Saudi Arabia,TRUE,33,TRUE,10,2013,Saudi Arabia,TRUE,33,TRUE,10,2013,Saudi Arabia,unchanged
SEN,Senegal,TRUE,33,FALSE,0,,Senegal,TRUE,33,FALSE,0,,Senegal,unchanged
SGP,Singapore,TRUE,33,FALSE,0,,Singapore,TRUE,33,FALSE,0,,Singapore,unchanged
SLB,Solomon Islands,TRUE,33,TRUE,20,2003,Solomon Islands,TRUE,33,TRUE,20,2003,Solomon Islands,unchanged
SLE,Sierra Leone,TRUE,33,TRUE,11,2012,Sierra Leone,TRUE,33,TRUE,11,2012,Sierra Leone,unchanged
SLV,El Salvador,TRUE,33,FALSE,0,,El Salvador,TRUE,33,FALSE,0,,El Salvador,unchanged
SMR,San Marino,TRUE,23,FALSE,0,,San Marino,TRUE,23,FALSE,0,,San Marino,unchanged
STP,São Tomé & Príncipe,TRUE,24,FALSE,0,,São Tomé & Príncipe,TRUE,24,FALSE,0,,São Tomé & Príncipe,unchanged
SUR,Suriname,TRUE,33,FALSE,0,,Suriname,TRUE,33,FALSE,0,,Suriname,unchanged
SVK,Slovakia,TRUE,30,FALSE,0,,Slovakia,TRUE,30,FALSE,0,,Slovakia,unchanged
SVN,Slovenia,TRUE,31,FALSE,0,,Slovenia,TRUE,31,FALSE,0,,Slovenia,unchanged
SWE,Sweden,TRUE,33,FALSE,0,,Sweden,TRUE,33,FALSE,0,,Sweden,unchanged
SWZ,Eswatini,TRUE,33,FALSE,0,,Eswatini,TRUE,33,FALSE,0,,Eswatini,unchanged
SYC,Seychelles,TRUE,31,FALSE,0,,Seychelles,TRUE,31,FALSE,0,,Seychelles,unchanged
