iso3c,china_top_period_id,country_name,period_entry_year,period_exit_year,duration_calendar_years,calendar_span_years,prior_year,prior_china_top_status,eligible_entry,qualifies_min5,consecutive_calendar_years
OMN,2,Oman,2004,2022,19,19,2003,0,TRUE,TRUE,TRUE
PAN,1,Panama,2021,2022,2,2,2020,0,TRUE,FALSE,TRUE
PER,1,Peru,2010,2022,13,13,2009,0,TRUE,TRUE,TRUE
PHL,1,Philippines,2005,2022,18,18,2004,0,TRUE,TRUE,TRUE
PNG,1,Papua New Guinea,2018,2019,2,2,2017,0,TRUE,FALSE,TRUE
PRK,1,North Korea,1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
PRK,2,North Korea,2002,2005,4,4,2001,0,TRUE,FALSE,TRUE
PRK,3,North Korea,2008,2019,12,12,2007,0,TRUE,TRUE,TRUE
PRK,4,North Korea,2022,2022,1,1,2021,0,TRUE,FALSE,TRUE
QAT,1,Qatar,2021,2022,2,2,2020,0,TRUE,FALSE,TRUE
RUS,1,Russia,1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
RUS,2,Russia,2012,2022,11,11,2011,0,TRUE,TRUE,TRUE
SAU,1,Saudi Arabia,2013,2022,10,10,2012,0,TRUE,TRUE,TRUE
SDN,1,Sudan,1990,1990,1,1,1989,,FALSE,FALSE,TRUE
SDN,2,Sudan,2000,2005,6,6,1999,0,TRUE,TRUE,TRUE
SDN,3,Sudan,2007,2010,4,4,2006,0,TRUE,FALSE,TRUE
SDN,4,Sudan,2013,2013,1,1,2012,0,TRUE,FALSE,TRUE
SLB,1,Solomon Islands,2003,2022,20,20,2002,0,TRUE,TRUE,TRUE
SLE,1,Sierra Leone,2012,2022,11,11,2011,0,TRUE,TRUE,TRUE
SOM,1,Somalia,1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
SSD,1,South Sudan,2012,2022,11,11,2011,,FALSE,FALSE,TRUE
TCD,1,Chad,2019,2020,2,2,2018,0,TRUE,FALSE,TRUE
THA,1,Thailand,2008,2021,14,14,2007,0,TRUE,TRUE,TRUE
TKM,1,Turkmenistan,2010,2022,13,13,2009,0,TRUE,TRUE,TRUE
TLS,1,Timor-Leste,2021,2022,2,2,2020,0,TRUE,FALSE,TRUE
TWN,1,Taiwan,2002,2022,21,21,2001,0,TRUE,TRUE,TRUE
TZA,1,Tanzania,2011,2011,1,1,2010,0,TRUE,FALSE,TRUE
UKR,1,Ukraine,1993,1994,2,2,1992,0,FALSE,FALSE,TRUE
UKR,2,Ukraine,2020,2021,2,2,2019,0,TRUE,FALSE,TRUE
URY,1,Uruguay,2013,2022,10,10,2012,0,TRUE,TRUE,TRUE
UZB,1,Uzbekistan,2013,2014,2,2,2012,0,TRUE,FALSE,TRUE
VEN,1,Venezuela,2021,2022,2,2,2020,0,TRUE,FALSE,TRUE
VNM,1,Vietnam,2018,2018,1,1,2017,0,TRUE,FALSE,TRUE
YEM,1,Yemen,1993,1993,1,1,1992,0,FALSE,FALSE,TRUE
YEM,2,Yemen,1996,1998,3,3,1995,0,FALSE,FALSE,TRUE
YEM,3,Yemen,2003,2003,1,1,2002,0,TRUE,FALSE,TRUE
YEM,4,Yemen,2005,2015,11,11,2004,0,TRUE,TRUE,TRUE
YEM,5,Yemen,2017,2020,4,4,2016,0,TRUE,FALSE,TRUE
YEM,6,Yemen,2022,2022,1,1,2021,0,TRUE,FALSE,TRUE
ZAF,1,South Africa,2009,2022,14,14,2008,0,TRUE,TRUE,TRUE
ZMB,1,Zambia,2012,2012,1,1,2011,0,TRUE,FALSE,TRUE
ZMB,2,Zambia,2014,2015,2,2,2013,0,TRUE,FALSE,TRUE
ZMB,3,Zambia,2018,2019,2,2,2017,0,TRUE,FALSE,TRUE
ZMB,4,Zambia,2022,2022,1,1,2021,0,TRUE,FALSE,TRUE
ZWE,1,Zimbabwe,2011,2017,7,7,2010,0,TRUE,TRUE,TRUE
ZWE,2,Zimbabwe,2019,2019,1,1,2018,0,TRUE,FALSE,TRUE
