metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank
goods_exports_rank,AUS,Australia,2018,USA,United States,9401.139248999998,6
goods_exports_rank,AUS,Australia,2019,CHN,China,120090.27899299997,1
goods_exports_rank,AUS,Australia,2019,JPN,Japan,45674.22603500001,2
goods_exports_rank,AUS,Australia,2019,USA,United States,10164.739284,6
goods_exports_rank,AUS,Australia,2020,CHN,China,117059.479146,1
goods_exports_rank,AUS,Australia,2020,JPN,Japan,36004.610528,2
goods_exports_rank,AUS,Australia,2020,USA,United States,13424.307941000003,4
goods_exports_rank,AUS,Australia,2021,CHN,China,162343.47704300005,1
goods_exports_rank,AUS,Australia,2021,JPN,Japan,52495.932724000006,2
goods_exports_rank,AUS,Australia,2021,USA,United States,11165.998985,6
goods_exports_rank,AUS,Australia,2022,CHN,China,138508.228944,1
goods_exports_rank,AUS,Australia,2022,JPN,Japan,86493.65804999994,2
goods_exports_rank,AUS,Australia,2022,USA,United States,12859.132061000002,6
goods_services_exports_rank,AUS,Australia,2005,JPN,Japan,27113.478713999997,1
goods_services_exports_rank,AUS,Australia,2005,CHN,China,17324.851614000003,2
goods_services_exports_rank,AUS,Australia,2005,USA,United States,10946.923895000002,4
goods_services_exports_rank,AUS,Australia,2006,JPN,Japan,30352.387140999985,1
goods_services_exports_rank,AUS,Australia,2006,CHN,China,20448.461698,2
goods_services_exports_rank,AUS,Australia,2006,USA,United States,12371.711653999999,4
goods_services_exports_rank,AUS,Australia,2007,JPN,Japan,33727.499309,1
goods_services_exports_rank,AUS,Australia,2007,CHN,China,27982.713422000004,2
goods_services_exports_rank,AUS,Australia,2007,USA,United States,13375.342790000002,4
goods_services_exports_rank,AUS,Australia,2008,JPN,Japan,50100.64273099999,1
goods_services_exports_rank,AUS,Australia,2008,CHN,China,40339.111438999986,2
goods_services_exports_rank,AUS,Australia,2008,USA,United States,15756.260255999996,4
goods_services_exports_rank,AUS,Australia,2009,CHN,China,41972.34163900001,1
goods_services_exports_rank,AUS,Australia,2009,JPN,Japan,37019.865767999996,2
goods_services_exports_rank,AUS,Australia,2009,USA,United States,12974.435891000001,5
goods_services_exports_rank,AUS,Australia,2010,CHN,China,63598.75467899999,1
goods_services_exports_rank,AUS,Australia,2010,JPN,Japan,47386.625113999995,2
goods_services_exports_rank,AUS,Australia,2010,USA,United States,13874.554426000002,5
goods_services_exports_rank,AUS,Australia,2011,CHN,China,85215.07186899998,1
goods_services_exports_rank,AUS,Australia,2011,JPN,Japan,59327.846203,2
goods_services_exports_rank,AUS,Australia,2011,USA,United States,15966.488860000001,5
goods_services_exports_rank,AUS,Australia,2012,CHN,China,85564.47420500002,1
goods_services_exports_rank,AUS,Australia,2012,JPN,Japan,59189.27929500001,2
goods_services_exports_rank,AUS,Australia,2012,USA,United States,15616.395032999997,4
goods_services_exports_rank,AUS,Australia,2013,CHN,China,99669.45493400002,1
goods_services_exports_rank,AUS,Australia,2013,JPN,Japan,53364.367958,2
goods_services_exports_rank,AUS,Australia,2013,USA,United States,15283.335071000001,4
goods_services_exports_rank,AUS,Australia,2014,CHN,China,98296.34576400004,1
goods_services_exports_rank,AUS,Australia,2014,JPN,Japan,50722.616280999995,2
goods_services_exports_rank,AUS,Australia,2014,USA,United States,16850.411064,4
goods_services_exports_rank,AUS,Australia,2015,CHN,China,81951.20957899999,1
goods_services_exports_rank,AUS,Australia,2015,JPN,Japan,36819.24930399998,2
goods_services_exports_rank,AUS,Australia,2015,USA,United States,17181.362869,4
goods_services_exports_rank,AUS,Australia,2016,CHN,China,80508.00823,1
goods_services_exports_rank,AUS,Australia,2016,JPN,Japan,32438.188351999997,2
goods_services_exports_rank,AUS,Australia,2016,USA,United States,15857.252680999996,4
goods_services_exports_rank,AUS,Australia,2017,CHN,China,106244.24850299998,1
goods_services_exports_rank,AUS,Australia,2017,JPN,Japan,41049.01682300002,2
goods_services_exports_rank,AUS,Australia,2017,USA,United States,17256.115133999996,5
goods_services_exports_rank,AUS,Australia,2018,CHN,China,118614.53874600002,1
goods_services_exports_rank,AUS,Australia,2018,JPN,Japan,48105.504942,2
goods_services_exports_rank,AUS,Australia,2018,USA,United States,17570.909915999997,5
goods_services_exports_rank,AUS,Australia,2019,CHN,China,133065.11702099998,1
goods_services_exports_rank,AUS,Australia,2019,JPN,Japan,47797.482778000005,2
goods_services_exports_rank,AUS,Australia,2019,USA,United States,18635.621914999996,4
goods_services_exports_rank,AUS,Australia,2020,CHN,China,126500.394296,1
goods_services_exports_rank,AUS,Australia,2020,JPN,Japan,37461.688298,2
goods_services_exports_rank,AUS,Australia,2020,USA,United States,19959.708885000004,4
goods_services_exports_rank,AUS,Australia,2021,CHN,China,170582.83796300006,1
goods_services_exports_rank,AUS,Australia,2021,JPN,Japan,53758.36345900001,2
goods_services_exports_rank,AUS,Australia,2021,USA,United States,18258.442059,5
goods_services_exports_rank,AUS,Australia,2022,CHN,China,147093.810756,1
goods_services_exports_rank,AUS,Australia,2022,JPN,Japan,87839.32589499994,2
goods_services_exports_rank,AUS,Australia,2022,USA,United States,22103.767796,6
goods_services_two_way_rank,AUS,Australia,2005,JPN,Japan,42122.553156,1
goods_services_two_way_rank,AUS,Australia,2005,CHN,China,35666.608403000006,2
goods_services_two_way_rank,AUS,Australia,2005,USA,United States,34939.893785000015,3
goods_services_two_way_rank,AUS,Australia,2006,JPN,Japan,45331.14671399999,1
goods_services_two_way_rank,AUS,Australia,2006,CHN,China,41697.50045299999,2
goods_services_two_way_rank,AUS,Australia,2006,USA,United States,39380.388377,3
goods_services_two_way_rank,AUS,Australia,2007,CHN,China,55087.950635,1
goods_services_two_way_rank,AUS,Australia,2007,JPN,Japan,50943.676066,2
goods_services_two_way_rank,AUS,Australia,2007,USA,United States,44187.900624,3
goods_services_two_way_rank,AUS,Australia,2008,CHN,China,73179.72535199998,1
goods_services_two_way_rank,AUS,Australia,2008,JPN,Japan,69637.70633799999,2
goods_services_two_way_rank,AUS,Australia,2008,USA,United States,51087.689579000005,3
goods_services_two_way_rank,AUS,Australia,2009,CHN,China,72943.8578,1
goods_services_two_way_rank,AUS,Australia,2009,JPN,Japan,52237.066273,2
goods_services_two_way_rank,AUS,Australia,2009,USA,United States,42949.063334,3
goods_services_two_way_rank,AUS,Australia,2010,CHN,China,103375.81414599998,1
goods_services_two_way_rank,AUS,Australia,2010,JPN,Japan,66590.927767,2
goods_services_two_way_rank,AUS,Australia,2010,USA,United States,49287.054185,3
goods_services_two_way_rank,AUS,Australia,2011,CHN,China,130754.10601299998,1
goods_services_two_way_rank,AUS,Australia,2011,JPN,Japan,79705.638806,2
goods_services_two_way_rank,AUS,Australia,2011,USA,United States,58317.401862000006,3
goods_services_two_way_rank,AUS,Australia,2012,CHN,China,133678.11200500003,1
goods_services_two_way_rank,AUS,Australia,2012,JPN,Japan,80879.513353,2
goods_services_two_way_rank,AUS,Australia,2012,USA,United States,61933.285472999996,3
goods_services_two_way_rank,AUS,Australia,2013,CHN,China,147595.29852300003,1
goods_services_two_way_rank,AUS,Australia,2013,JPN,Japan,73626.481527,2
goods_services_two_way_rank,AUS,Australia,2013,USA,United States,57179.61174099999,3
goods_services_two_way_rank,AUS,Australia,2014,CHN,China,147559.733121,1
goods_services_two_way_rank,AUS,Australia,2014,JPN,Japan,68708.49694499999,2
goods_services_two_way_rank,AUS,Australia,2014,USA,United States,58700.928853,3
goods_services_two_way_rank,AUS,Australia,2015,CHN,China,130680.60385,1
goods_services_two_way_rank,AUS,Australia,2015,USA,United States,57935.153594,2
goods_services_two_way_rank,AUS,Australia,2015,JPN,Japan,53794.92233699998,3
goods_services_two_way_rank,AUS,Australia,2016,CHN,China,127155.53720500002,1
goods_services_two_way_rank,AUS,Australia,2016,USA,United States,55779.797425,2
goods_services_two_way_rank,AUS,Australia,2016,JPN,Japan,49326.200353999986,3
goods_services_two_way_rank,AUS,Australia,2017,CHN,China,159491.14992999999,1
goods_services_two_way_rank,AUS,Australia,2017,USA,United States,60645.943146,2
goods_services_two_way_rank,AUS,Australia,2017,JPN,Japan,60387.01104000001,3
goods_services_two_way_rank,AUS,Australia,2018,CHN,China,179518.183479,1
goods_services_two_way_rank,AUS,Australia,2018,JPN,Japan,68365.278136,2
goods_services_two_way_rank,AUS,Australia,2018,USA,United States,63591.15688099999,3
goods_services_two_way_rank,AUS,Australia,2019,CHN,China,193179.95504699997,1
goods_services_two_way_rank,AUS,Australia,2019,JPN,Japan,66289.22301500001,2
goods_services_two_way_rank,AUS,Australia,2019,USA,United States,65876.408734,3
goods_services_two_way_rank,AUS,Australia,2020,CHN,China,189446.100952,1
goods_services_two_way_rank,AUS,Australia,2020,USA,United States,60305.98756200001,2
goods_services_two_way_rank,AUS,Australia,2020,JPN,Japan,51595.89957,3
goods_services_two_way_rank,AUS,Australia,2021,CHN,China,247523.11041100006,1
goods_services_two_way_rank,AUS,Australia,2021,JPN,Japan,70826.32229800001,2
goods_services_two_way_rank,AUS,Australia,2021,USA,United States,62068.01128600001,3
goods_services_two_way_rank,AUS,Australia,2022,CHN,China,235425.100449,1
goods_services_two_way_rank,AUS,Australia,2022,JPN,Japan,107417.42446399994,2
goods_services_two_way_rank,AUS,Australia,2022,USA,United States,75112.59616100001,3
goods_exports_rank,BRA,Brazil,2005,USA,United States,25412.786074999996,1
goods_exports_rank,BRA,Brazil,2005,CHN,China,9984.978792,3
goods_exports_rank,BRA,Brazil,2005,JPN,Japan,4423.618339000001,6
goods_exports_rank,BRA,Brazil,2006,USA,United States,27236.020826,1
goods_exports_rank,BRA,Brazil,2006,CHN,China,12910.943630000003,2
goods_exports_rank,BRA,Brazil,2006,JPN,Japan,5081.395721000002,6
goods_exports_rank,BRA,Brazil,2007,USA,United States,26664.214898,1
goods_exports_rank,BRA,Brazil,2007,CHN,China,18342.222025999996,2
goods_exports_rank,BRA,Brazil,2007,JPN,Japan,5995.444784999999,5
goods_exports_rank,BRA,Brazil,2008,USA,United States,31338.99481199999,1
goods_exports_rank,BRA,Brazil,2008,CHN,China,29874.387742999985,2
goods_exports_rank,BRA,Brazil,2008,JPN,Japan,9098.360702999998,5
goods_exports_rank,BRA,Brazil,2009,CHN,China,28296.08787699999,1
goods_exports_rank,BRA,Brazil,2009,USA,United States,20154.726553999993,2
goods_exports_rank,BRA,Brazil,2009,JPN,Japan,6345.1199050000005,5
goods_exports_rank,BRA,Brazil,2010,CHN,China,38135.664947,1
goods_exports_rank,BRA,Brazil,2010,USA,United States,24182.282249000007,2
goods_exports_rank,BRA,Brazil,2010,JPN,Japan,9798.458144000002,5
goods_exports_rank,BRA,Brazil,2011,CHN,China,52416.16000099998,1
goods_exports_rank,BRA,Brazil,2011,USA,United States,31416.744468000004,2
