specification,weight_rank,iso3c,country_name,unit_weight
predetermined_core,56,NLD,Netherlands,0.008874836875830398
predetermined_core,57,COM,Comoros,0.008629499127300008
predetermined_core,58,UGA,Uganda,0.008465707144980204
predetermined_core,59,SEN,Senegal,0.008408002714513408
predetermined_core,60,GRC,Greece,0.008270001438067427
predetermined_core,61,PAN,Panama,0.008240499150702922
predetermined_core,62,ISR,Israel,0.008166943162722111
predetermined_core,63,PRT,Portugal,0.008067758217912151
predetermined_core,64,ITA,Italy,0.007853277011033853
predetermined_core,65,SVK,Slovakia,0.007777969031919113
predetermined_core,66,MAR,Morocco,0.007345126694438545
predetermined_core,67,MDA,Moldova,0.007314339668994019
predetermined_core,68,BTN,Bhutan,0.006180104059926089
predetermined_core,69,GBR,United Kingdom,0.005925567982923353
predetermined_core,70,USA,United States,0.0043627138430413406
predetermined_core,71,LKA,Sri Lanka,0.0037994650857947304
predetermined_core,72,BWA,Botswana,0.003099522542656156
predetermined_core,73,IRL,Ireland,0.0030196313890154007
predetermined_core,74,CAN,Canada,0.0029700253282427765
predetermined_core,75,LBY,Libya,0.0023139846482236447
predetermined_core,76,ARE,United Arab Emirates,8.597830731803788e-4
predetermined_core,77,FRA,France,5.960347928886229e-4
predetermined_core,78,BGD,Bangladesh,5.052978493828832e-4
predetermined_core,79,BHR,Bahrain,4.4031439995893845e-4
predetermined_core,80,BLR,Belarus,4.4031439995893845e-4
predetermined_core,81,CIV,Côte d’Ivoire,4.4031439995893845e-4
predetermined_core,82,CPV,Cape Verde,4.4031439995893845e-4
predetermined_core,83,ECU,Ecuador,4.4031439995893845e-4
predetermined_core,84,EGY,Egypt,4.4031439995893845e-4
predetermined_core,85,GAB,Gabon,4.4031439995893845e-4
predetermined_core,86,GHA,Ghana,4.4031439995893845e-4
predetermined_core,87,GIN,Guinea,4.4031439995893845e-4
predetermined_core,88,KWT,Kuwait,4.4031439995893845e-4
predetermined_core,89,MDG,Madagascar,4.4031439995893845e-4
predetermined_core,90,MEX,Mexico,4.4031439995893845e-4
predetermined_core,91,NGA,Nigeria,4.4031439995893845e-4
predetermined_core,92,RWA,Rwanda,4.4031439995893845e-4
predetermined_core,93,SWZ,Eswatini,4.4031439995893845e-4
predetermined_core,94,UKR,Ukraine,4.4031439995893845e-4
predetermined_core,95,VEN,Venezuela,4.4031439995893845e-4
predetermined_plus_primary_level,1,GEO,Georgia,0.030501308836623595
predetermined_plus_primary_level,2,MLT,Malta,0.030478276175817793
predetermined_plus_primary_level,3,TCD,Chad,0.02770255709515165
predetermined_plus_primary_level,4,GTM,Guatemala,0.027344567083984427
predetermined_plus_primary_level,5,PRY,Paraguay,0.02696626229378291
predetermined_plus_primary_level,6,BOL,Bolivia,0.02258701698268947
predetermined_plus_primary_level,7,ALB,Albania,0.02210489428925499
predetermined_plus_primary_level,8,COL,Colombia,0.021839997688418492
predetermined_plus_primary_level,9,IND,India,0.021805056343228706
predetermined_plus_primary_level,10,DOM,Dominican Republic,0.021783206001067614
predetermined_plus_primary_level,11,AZE,Azerbaijan,0.021021906541448573
predetermined_plus_primary_level,12,DEU,Germany,0.020838641754271185
predetermined_plus_primary_level,13,TUR,Turkey,0.020763328955060917
predetermined_plus_primary_level,14,CRI,Costa Rica,0.01789560877421432
predetermined_plus_primary_level,15,MWI,Malawi,0.01775796173451277
predetermined_plus_primary_level,16,FJI,Fiji,0.017343828576590812
