specification,year_end,iso3c,estimate,rmspe_pre,status,error
current_baseline,2015,ESP,-0.05101868125994265,0.05258156745977343,estimated,
current_baseline,2015,EST,0.00873776323797068,0.03623609439159884,estimated,
current_baseline,2015,FIN,-0.01735340909114882,0.0591071738380786,estimated,
current_baseline,2015,FJI,0.0242220464654337,0.20362046176537113,estimated,
current_baseline,2015,FRA,-0.11391290864599372,0.06199688070605744,estimated,
current_baseline,2015,GAB,0.17919440052368302,0.06220436740642755,estimated,
current_baseline,2015,GBR,-0.0405249740656782,0.07403830330428374,estimated,
current_baseline,2015,GEO,0.13531163372407726,0.11867138065604592,estimated,
current_baseline,2015,GHA,-0.03865182894594955,0.09382190950915896,estimated,
current_baseline,2015,GIN,-0.06620236356321146,0.07347333680398205,estimated,
current_baseline,2015,GRC,-0.3348861191689539,0.04481291426526978,estimated,
current_baseline,2015,GTM,-0.09517493652405296,0.0658699760484957,estimated,
current_baseline,2015,GUY,-0.0290597043675785,0.04427069000130619,estimated,
current_baseline,2015,HRV,0.01733341057982209,0.05762378367338875,estimated,
current_baseline,2015,HTI,-0.2836725693366859,0.25211400078775265,estimated,
current_baseline,2015,HUN,-0.04814376051712097,0.05227690273769896,estimated,
current_baseline,2015,IND,-0.0610989241556646,0.18110224260140967,estimated,
current_baseline,2015,IRL,-0.02740178838643959,0.04692380454199896,estimated,
current_baseline,2015,ISL,-0.12766679307299594,0.07176360806600755,estimated,
current_baseline,2015,ISR,0.0443425982489111,0.06723546746551154,estimated,
current_baseline,2015,ITA,0.00155484256524412,0.06806143501192424,estimated,
current_baseline,2015,JAM,0.03501536946319287,0.06457087020445107,estimated,
current_baseline,2015,JOR,-0.02540333615463812,0.1519435020870299,estimated,
current_baseline,2015,KEN,-0.03429191933591018,0.09433838649592198,estimated,
current_baseline,2015,KWT,-0.00365377710800718,0.11315471853616686,estimated,
current_baseline,2015,LBN,-0.08218663044982806,0.19723430776452955,estimated,
current_baseline,2015,LBY,-0.7956804366118128,0.17701759044957466,estimated,
current_baseline,2015,LKA,0.01997047150198062,0.08085265020840492,estimated,
current_baseline,2015,LTU,0.02651086168383412,0.03960259918268193,estimated,
current_baseline,2015,LVA,-0.03999895205316358,0.04450364641623934,estimated,
current_baseline,2015,MAR,0.05442651089963351,0.08805221081216193,estimated,
current_baseline,2015,MDA,-0.05572115739872766,0.08013692521944618,estimated,
current_baseline,2015,MDG,-0.03408710621718653,0.09978474189785971,estimated,
current_baseline,2015,MDV,0.14098297691533732,0.04812109427483858,estimated,
current_baseline,2015,MEX,-0.023836726380838318,0.09983863527627113,estimated,
current_baseline,2015,MLT,-0.10826248333661316,0.11264719809541378,estimated,
current_baseline,2015,MUS,-0.08979603667836901,0.04932214403995288,estimated,
current_baseline,2015,MWI,0.09551263011686086,0.1528167605995938,estimated,
current_baseline,2015,NAM,0.2026460061832812,0.05562459716236364,estimated,
current_baseline,2015,NGA,-0.03904746260489517,0.17056967507305007,estimated,
current_baseline,2015,NIC,0.38802006176104253,0.14910808795837702,estimated,
current_baseline,2015,NLD,0.0070081208292625,0.07520404810090767,estimated,
current_baseline,2015,NOR,0.02475346091355746,0.08581656537649604,estimated,
current_baseline,2015,PAK,-0.04056650961773381,0.07231553303410018,estimated,
current_baseline,2015,PAN,0.30255846066752756,0.07497524193222363,estimated,
current_baseline,2015,PNG,0.0277899950495168,0.22946406831832455,estimated,
current_baseline,2015,POL,4.966415971087121e-4,0.04154369906636845,estimated,
current_baseline,2015,PRT,-0.07869903111002624,0.04425004164470812,estimated,
current_baseline,2015,PRY,-0.03486272999048735,0.074334170801134275,estimated,
current_baseline,2015,QAT,-0.05964199465055905,0.14224244055048402,estimated,
current_baseline,2015,ROU,-0.05280019105487489,0.03493854908677241,estimated,
current_baseline,2015,RWA,0.11574000345381397,0.22045217835770364,estimated,
current_baseline,2015,SEN,0.1017540416767132,0.1109567747544702,estimated,
current_baseline,2015,SLV,-0.08211067181056357,0.0899862380656509,estimated,
current_baseline,2015,SUR,0.03428921032663129,0.05260679230164445,estimated,
current_baseline,2015,SVK,0.01118068550941035,0.03874515259061632,estimated,
current_baseline,2015,SVN,-0.10360051261556978,0.02429170761452843,estimated,
current_baseline,2015,SWE,-0.04881778791944731,0.04566273771604855,estimated,
current_baseline,2015,SWZ,0.04461319179890194,0.12365757115529696,estimated,
current_baseline,2015,TCD,0.05626321355698991,0.17234657967452152,estimated,
current_baseline,2015,TGO,0.3111231002405771,0.08567252153272997,estimated,
current_baseline,2015,TTO,0.0402365508546373,0.05852236652405029,estimated,
current_baseline,2015,TUN,0.02817423542857132,0.12559872756779075,estimated,
current_baseline,2015,TUR,-0.07026160163975537,0.04717153121731545,estimated,
current_baseline,2015,UGA,-0.01080568154106306,0.1647464082269718,estimated,
current_baseline,2015,UKR,0.07155667355280984,0.1935372420683681,estimated,
current_baseline,2015,USA,-0.21900153815596904,0.06571485766326525,estimated,
current_baseline,2015,VEN,0.23820480048732537,0.14828091457460185,estimated,
predetermined_core,2015,ALB,-0.12104372089477794,0.1380443500460731,estimated,
predetermined_core,2015,ARE,0.08944046839077244,0.0935531877610301,estimated,
predetermined_core,2015,ARG,-0.21622637430350186,0.048370673208356654,estimated,
predetermined_core,2015,AUT,-0.08389999315815377,0.05545700393938438,estimated,
predetermined_core,2015,AZE,-0.14142591690030623,0.07691989473953789,estimated,
predetermined_core,2015,BGD,0.04218244557206718,0.10120387416372793,estimated,
predetermined_core,2015,BGR,-0.007198638509219773,0.05281666865969177,estimated,
predetermined_core,2015,BHR,-0.09861603313945756,0.12020056821254343,estimated,
predetermined_core,2015,BLR,0.08663486276880264,0.176539645416227,estimated,
predetermined_core,2015,BOL,0.35850157564756785,0.06398472971846474,estimated,
predetermined_core,2015,BRA,-0.2723038606962537,0.05808861331142352,estimated,
predetermined_core,2015,BRB,0.13396172704076692,0.062102209315581844,estimated,
predetermined_core,2015,BTN,-0.03641775025816795,0.09168071147430269,estimated,
predetermined_core,2015,BWA,-0.00302210076316541,0.07090986459945813,estimated,
predetermined_core,2015,CAN,0.25936600483994776,0.0905741134535688,estimated,
predetermined_core,2015,CIV,-0.01476422372750511,0.1163325303632399,estimated,
predetermined_core,2015,COL,0.13603672497383187,0.08813394869635363,estimated,
predetermined_core,2015,COM,-0.021853195012462644,0.07970948761040474,estimated,
predetermined_core,2015,CPV,-0.01774035554657323,0.07923042825945194,estimated,
predetermined_core,2015,CRI,-0.07504307024492683,0.09175802018967807,estimated,
predetermined_core,2015,CYP,-0.05221549705080111,0.06438786750734994,estimated,
predetermined_core,2015,CZE,0.04999482916093215,0.04529247038178389,estimated,
predetermined_core,2015,DEU,0.11617696401144496,0.0841098605528132,estimated,
predetermined_core,2015,DNK,-0.012929628645213088,0.04344292381320567,estimated,
predetermined_core,2015,DOM,-0.09235613064894838,0.14333205357676854,estimated,
predetermined_core,2015,DZA,-0.05922023830624498,0.15742242871006942,estimated,
predetermined_core,2015,ECU,0.2066357280639027,0.06605727496638485,estimated,
predetermined_core,2015,EGY,-0.11453977037223124,0.19893762491245853,estimated,
