metric,metric_label,iso3c,country_name,years_compared,top1_agreement_rate,top2_unordered_agreement_rate,china_top1_status_disagreements_n,china_in_top2_status_disagreements_n,china_in_top2_any_year
goods_services_exports_combined,Bens + serviços: exportações,MKD,North Macedonia,8,0.875,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MOZ,Mozambique,8,0.875,0.875,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SEN,Senegal,8,0.875,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,8,0.875,1,1,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,CHL,Chile,8,0.875,1,1,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,CIV,Côte d'Ivoire,8,0.875,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,DEU,Germany,8,0.875,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,KWT,Kuwait,8,0.875,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MRT,Mauritania,8,0.875,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,MUS,Mauritius,8,0.875,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,PER,Peru,8,0.875,1,1,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,WSM,Samoa,8,1,0,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,KNA,St. Kitts & Nevis,8,1,0.125,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LUX,Luxembourg,8,1,0.125,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BRB,Barbados,8,1,0.25,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SLB,Solomon Islands,8,1,0.25,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BIH,Bosnia & Herzegovina,8,1,0.375,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BDI,Burundi,8,1,0.5,0,2,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BFA,Burkina Faso,8,1,0.5,0,4,TRUE
goods_services_exports_combined,Bens + serviços: exportações,GNB,Guinea-Bissau,8,1,0.5,0,0,FALSE
