iso3c,rcid,year,issue_domain,brazil,post_2009,observation_weight,fwl_residual,ddd_outcome_weight
SEN,4521,2005,Non-human rights,0,0,1,-0.0016398625110196979,-5.2413197062459484e-5
SGP,4521,2005,Non-human rights,0,0,1,-0.001632941295885797,-5.219198155793572e-5
SVK,4521,2005,Non-human rights,0,0,1,-0.0016381873623616263,-5.235965605146959e-5
SVN,4521,2005,Non-human rights,0,0,1,-0.0016386726625894192,-5.237516719115529e-5
SWE,4521,2005,Non-human rights,0,0,1,-0.0016297458348240004,-5.208984840395977e-5
TTO,4521,2005,Non-human rights,0,0,1,-0.0016371333350260983,-5.232596728666461e-5
TUN,4521,2005,Non-human rights,0,0,1,-0.0016181661116177653,-5.171973791588005e-5
TUR,4521,2005,Non-human rights,0,0,1,-0.001656714463692107,-5.295181826415827e-5
UGA,4521,2005,Non-human rights,0,0,1,-0.0016764535158202993,-5.3582716782826015e-5
UKR,4521,2005,Non-human rights,0,0,1,-0.0016197607157491958,-5.1770704567056994e-5
VEN,4521,2005,Non-human rights,0,0,1,-0.0016425596143926308,-5.249940173488379e-5
ALB,4522,2005,Non-human rights,0,0,1,-0.0015991153061325342,-5.111083709926519e-5
ARE,4522,2005,Non-human rights,0,0,1,-0.0015622387374303898,-4.9932190200891396e-5
ARG,4522,2005,Non-human rights,0,0,1,-0.0015767775209264794,-5.039687801423444e-5
AUT,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
AZE,4522,2005,Non-human rights,0,0,1,-0.0015564955277977746,-4.9748626044614605e-5
BGD,4522,2005,Non-human rights,0,0,1,-0.0015652705936410707,-5.0029094225446874e-5
BGR,4522,2005,Non-human rights,0,0,1,-0.0015371046888794822,-4.912885709776619e-5
BHR,4522,2005,Non-human rights,0,0,1,-0.001579287945071671,-5.047711605525805e-5
BLR,4522,2005,Non-human rights,0,0,1,-0.0015714972463216682,-5.0228110162328506e-5
BOL,4522,2005,Non-human rights,0,0,1,-0.0015409214351606844,-4.925084773638971e-5
BRA,4522,2005,Non-human rights,1,0,1,0.12449589383251003,0.0039791310387679215
BRB,4522,2005,Non-human rights,0,0,1,-0.0015945890872445887,-5.0966170335480095e-5
CAN,4522,2005,Non-human rights,0,0,1,-0.0015761916002167374,-5.0378150848135874e-5
CIV,4522,2005,Non-human rights,0,0,1,-0.0017220886119027469,-5.50413032605706e-5
COL,4522,2005,Non-human rights,0,0,1,-0.0015846580366411893,-5.064875463214191e-5
COM,4522,2005,Non-human rights,0,0,1,-0.0015929059512658358,-5.091237403417771e-5
CPV,4522,2005,Non-human rights,0,0,1,-0.0015601684751474852,-4.986602058955161e-5
CRI,4522,2005,Non-human rights,0,0,1,-0.001580225800328653,-5.050709173435916e-5
CYP,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
CZE,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
DEU,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
DNK,4522,2005,Non-human rights,0,0,1,-0.0015761916002167374,-5.0378150848135874e-5
DOM,4522,2005,Non-human rights,0,0,1,-0.0015642622733979862,-4.999686634826344e-5
DZA,4522,2005,Non-human rights,0,0,1,-0.0015736872106695556,-5.029810568460812e-5
ECU,4522,2005,Non-human rights,0,0,1,-0.0015787359644713094,-5.0459473681103516e-5
EGY,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
ESP,4522,2005,Non-human rights,0,0,1,-0.001566157985060458,-5.005745698209466e-5
EST,4522,2005,Non-human rights,0,0,1,-0.0015672299332336076,-5.009171853174439e-5
FIN,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
FRA,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
GAB,4522,2005,Non-human rights,0,0,1,-0.0015204077928569694,-4.8595191808341906e-5
GBR,4522,2005,Non-human rights,0,0,1,-0.0015632158844342504,-4.996342172068539e-5
GEO,4522,2005,Non-human rights,0,0,1,-0.0015819271594913608,-5.0561470484083475e-5
GTM,4522,2005,Non-human rights,0,0,1,-0.0015778245989703152,-5.043034466615346e-5
GUY,4522,2005,Non-human rights,0,0,1,-0.001578798431265754,-5.046147024141579e-5
HRV,4522,2005,Non-human rights,0,0,1,-0.0015769262497690065,-5.0401631677471365e-05
HTI,4522,2005,Non-human rights,0,0,1,-0.0015987357257447312,-5.1098704971398814e-5
HUN,4522,2005,Non-human rights,0,0,1,-0.0015675313147603953,-5.010135127183593e-5
IND,4522,2005,Non-human rights,0,0,1,-0.001570248825115188,-5.018820819111293e-5
IRL,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
ISL,4522,2005,Non-human rights,0,0,1,-0.0015761916002167374,-5.0378150848135874e-5
ISR,4522,2005,Non-human rights,0,0,1,-0.0015782230106384319,-5.044307867838476e-5
ITA,4522,2005,Non-human rights,0,0,1,-0.0015721851065348038,-5.0250095513332156e-5
JAM,4522,2005,Non-human rights,0,0,1,-0.0015735111446959359,-5.0292478273462784e-5
JOR,4522,2005,Non-human rights,0,0,1,-0.0015664291365105813,-5.0066123510107576e-5
KEN,4522,2005,Non-human rights,0,0,1,-0.0016187232725158873,-5.173754586243199e-5
KWT,4522,2005,Non-human rights,0,0,1,-0.0015930712248504056,-5.091765649956677e-5
LBN,4522,2005,Non-human rights,0,0,1,-0.0016124147091313916,-5.153591190005365e-5
LKA,4522,2005,Non-human rights,0,0,1,-0.0015585231563909547,-4.9813433000264644e-5
LTU,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
LVA,4522,2005,Non-human rights,0,0,1,-0.0015718302683214278,-5.023875419350931e-5
MAR,4522,2005,Non-human rights,0,0,1,-0.0015795800052386534,-5.0486450866550635e-5
MDA,4522,2005,Non-human rights,0,0,1,-0.0016020990049377957,-5.1206201919428034e-5
MDG,4522,2005,Non-human rights,0,0,1,-0.0016716422268137543,-5.342893862329746e-5
MDV,4522,2005,Non-human rights,0,0,1,-0.001562762278741432,-4.9948923600015766e-5
MEX,4522,2005,Non-human rights,0,0,1,-0.0015778493060501428,-5.0431134352505296e-5
MUS,4522,2005,Non-human rights,0,0,1,-0.0015643567432743904,-4.999988578935388e-5
NAM,4522,2005,Non-human rights,0,0,1,-0.0014896740578577968,-4.7612881829211165e-5
NIC,4522,2005,Non-human rights,0,0,1,-0.0016103689311814462,-5.1470524855642326e-5
NLD,4522,2005,Non-human rights,0,0,1,-0.0015761916002167374,-5.0378150848135874e-5
NOR,4522,2005,Non-human rights,0,0,1,-0.0015747569412752757,-5.033229635648736e-5
PAK,4522,2005,Non-human rights,0,0,1,-0.0015747381829432081,-5.033169680369034e-5
PAN,4522,2005,Non-human rights,0,0,1,-0.0015942324873630355,-5.0954772709314056e-5
POL,4522,2005,Non-human rights,0,0,1,-0.0015731328051233815,-5.028038580446641e-5
PRT,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
PRY,4522,2005,Non-human rights,0,0,1,-0.001574660615126236,-5.032921758531115e-5
QAT,4522,2005,Non-human rights,0,0,1,-0.0015729280907290316,-5.027384273404406e-5
ROU,4522,2005,Non-human rights,0,0,1,-0.0015641036718740784,-4.9991797134917125e-5
RWA,4522,2005,Non-human rights,0,0,1,-0.0014509141288870822,-4.6374039071591354e-5
SGP,4522,2005,Non-human rights,0,0,1,-0.0015704602335131156,-5.019496521491632e-5
SLV,4522,2005,Non-human rights,0,0,1,-0.0015948491134648829,-5.097448127949772e-5
SUR,4522,2005,Non-human rights,0,0,1,-0.0016144854266953526,-5.160209606306199e-5
SVK,4522,2005,Non-human rights,0,0,1,-0.0015757062999889446,-5.0362639708450176e-5
SVN,4522,2005,Non-human rights,0,0,1,-0.0015761916002167374,-5.0378150848135874e-5
SWE,4522,2005,Non-human rights,0,0,1,-0.0015672647724513187,-5.009283206094036e-5
TTO,4522,2005,Non-human rights,0,0,1,-0.001574652272653416,-5.0328950943645175e-5
TUN,4522,2005,Non-human rights,0,0,1,-0.0015556850492450835,-4.9722721572860635e-5
TUR,4522,2005,Non-human rights,0,0,1,-0.0015942334013194252,-5.0954801921138855e-5
UGA,4522,2005,Non-human rights,0,0,1,-0.0016139724534476175,-5.15857004398066e-5
UKR,4522,2005,Non-human rights,0,0,1,-0.001557279653376514,-4.977368822403758e-5
ARE,4594,2005,Human rights,0,0,1,0.004463853712796069,1.4267345142324642e-4
ARG,4594,2005,Human rights,0,0,1,0.004449314929299979,1.4220876360990337e-4
AUT,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
AZE,4594,2005,Human rights,0,0,1,0.004469596922428685,1.4285701557952324e-4
BGD,4594,2005,Human rights,0,0,1,0.004460821856585388,1.4257654739869094e-4
BGR,4594,2005,Human rights,0,0,1,0.004488987761346977,1.4347678452637162e-4
BHR,4594,2005,Human rights,0,0,1,0.004446804505154788,1.4212852556887978e-4
BLR,4594,2005,Human rights,0,0,1,0.00445459520390479,1.423775314618093e-4
BRA,4594,2005,Human rights,1,0,1,-0.3250971977579964,-0.010390739086990782
BRB,4594,2005,Human rights,0,0,1,0.00443150336298187,1.4163947128865772e-4
CAN,4594,2005,Human rights,0,0,1,0.004449900850009721,1.4222749077600196e-4
COL,4594,2005,Human rights,0,0,1,0.0044414344135852695,1.419568869919959e-4
COM,4594,2005,Human rights,0,0,1,0.004433186498960623,1.4169326758996012e-4
CRI,4594,2005,Human rights,0,0,1,0.004445866649897806,1.4209854988977868e-4
CYP,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
CZE,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
DEU,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
DNK,4594,2005,Human rights,0,0,1,0.004449900850009721,1.4222749077600196e-4
DOM,4594,2005,Human rights,0,0,1,0.004461830176828472,1.4260877527587436e-4
DZA,4594,2005,Human rights,0,0,1,0.004452405239556903,1.4230753593952973e-4
ECU,4594,2005,Human rights,0,0,1,0.004447356485755149,1.421461679430343e-4
EGY,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
ESP,4594,2005,Human rights,0,0,1,0.004459934465166001,1.4254818464204316e-4
EST,4594,2005,Human rights,0,0,1,0.004458862516992852,1.4251392309239347e-4
FIN,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
FRA,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
GBR,4594,2005,Human rights,0,0,1,0.004462876565792209,1.4264221990345247e-4
GEO,4594,2005,Human rights,0,0,1,0.004444165290735097,1.4204417114005433e-4
GHA,4594,2005,Human rights,0,0,1,0.004386374592359352,1.4019706795793352e-4
GIN,4594,2005,Human rights,0,0,1,0.004432138835824402,1.4165978223734988e-4
GRC,4594,2005,Human rights,0,0,1,0.004456405504199588,1.4243539218211719e-4
GTM,4594,2005,Human rights,0,0,1,0.004448267851256143,1.4217529695798435e-4
GUY,4594,2005,Human rights,0,0,1,0.004447294018960705,1.4214417138272203e-4
HRV,4594,2005,Human rights,0,0,1,0.004449166200457453,1.4220400994666648e-4
HUN,4594,2005,Human rights,0,0,1,0.0044585611354660635,1.4250429035230188e-4
IND,4594,2005,Human rights,0,0,1,0.004455843625111271,1.424174334330249e-4
IRL,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
ISL,4594,2005,Human rights,0,0,1,0.004449900850009721,1.4222749077600196e-4
ITA,4594,2005,Human rights,0,0,1,0.004453907343691656,1.423555461108057e-4
JAM,4594,2005,Human rights,0,0,1,0.004452581305530524,1.4231316335067509e-4
JOR,4594,2005,Human rights,0,0,1,0.004459663313715877,1.4253951811403023e-4
KWT,4594,2005,Human rights,0,0,1,0.004433021225376053,1.4168798512457107e-4
LBY,4594,2005,Human rights,0,0,1,0.004468072723019414,1.4280829920027574e-4
LKA,4594,2005,Human rights,0,0,1,0.004467569293835504,1.4279220862387318e-4
LTU,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
LVA,4594,2005,Human rights,0,0,1,0.004454262181905031,1.423668874306285e-4
MAR,4594,2005,Human rights,0,0,1,0.004446512444987805,1.4211919075758717e-4
MDV,4594,2005,Human rights,0,0,1,0.004463330171485027,1.4265671802412208e-4
MEX,4594,2005,Human rights,0,0,1,0.004448243144176316,1.4217450727163253e-4
MUS,4594,2005,Human rights,0,0,1,0.004461735706952068,1.4260575583478392e-4
MWI,4594,2005,Human rights,0,0,1,0.004456871418953605,1.4245028372433642e-4
NAM,4594,2005,Human rights,0,0,1,0.004536418392368662,0.00014499275979492666
NGA,4594,2005,Human rights,0,0,1,0.004434752975135579,1.4174333521691046e-4
NLD,4594,2005,Human rights,0,0,1,0.004449900850009721,1.4222749077600196e-4
NOR,4594,2005,Human rights,0,0,1,0.004451335508951182,1.4227334526765043e-4
PAK,4594,2005,Human rights,0,0,1,0.0044513542672832505,1.422739448204475e-4
PAN,4594,2005,Human rights,0,0,1,0.004431859962863424,1.416508689148238e-4
POL,4594,2005,Human rights,0,0,1,0.004452959645103078,1.4232525581967144e-4
PRT,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
QAT,4594,2005,Human rights,0,0,1,0.004453164359497427,1.4233179889009377e-4
ROU,4594,2005,Human rights,0,0,1,0.00446198877835238,1.426138444892207e-4
RWA,4594,2005,Human rights,0,0,1,0.004575178321339376,1.4623160255254646e-4
SGP,4594,2005,Human rights,0,0,1,0.004455632216713344,1.424106764092215e-4
SLV,4594,2005,Human rights,0,0,1,0.004431243336761577,1.4163116034464013e-4
SVK,4594,2005,Human rights,0,0,1,0.004450386150237514,1.4224300191568765e-4
SVN,4594,2005,Human rights,0,0,1,0.004449900850009721,1.4222749077600196e-4
SWE,4594,2005,Human rights,0,0,1,0.00445882767777514,1.4251280956319748e-4
TGO,4594,2005,Human rights,0,0,1,0.004392397834102333,1.4038958248540657e-4
TTO,4594,2005,Human rights,0,0,1,0.004451440177573042,1.4227669068049263e-4
TUN,4594,2005,Human rights,0,0,1,0.004470407400981375,1.4288292005127718e-4
TUR,4594,2005,Human rights,0,0,1,0.004431859048907034,1.4165083970299897e-4
UGA,4594,2005,Human rights,0,0,1,0.004412119996778842,1.4101994118433122e-4
UKR,4594,2005,Human rights,0,0,1,0.0044688127968499445,1.4283195340010024e-4
VEN,4594,2005,Human rights,0,0,1,0.0044460138982065096,1.4210325623227344e-4
ARE,4595,2005,Non-human rights,0,0,1,-0.0016931622877543703,-5.41167616494945e-5
ARG,4595,2005,Non-human rights,0,0,1,-0.0017077010712504602,-5.458144946283755e-5
AUT,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
AZE,4595,2005,Non-human rights,0,0,1,-0.0016874190781217555,-5.3933197493217716e-5
BGD,4595,2005,Non-human rights,0,0,1,-0.001696194143965051,-5.421366567404997e-5
BGR,4595,2005,Non-human rights,0,0,1,-0.0016680282392034628,-5.33134285463693e-5
BHR,4595,2005,Non-human rights,0,0,1,-0.001710211495395652,-5.466168750386117e-5
BLR,4595,2005,Non-human rights,0,0,1,-0.001702420796645649,-5.441268161093162e-5
BRA,4595,2005,Non-human rights,1,0,1,0.12436497028218604,0.003974946467319318
BRB,4595,2005,Non-human rights,0,0,1,-0.0017255126375685691,-5.515074178408319e-5
CAN,4595,2005,Non-human rights,0,0,1,-0.0017071151505407183,-5.4562722296738984e-5
COL,4595,2005,Non-human rights,0,0,1,-0.0017155815869651701,-5.483332608074503e-5
COM,4595,2005,Non-human rights,0,0,1,-0.0017238295015898166,-5.509694548278083e-5
CRI,4595,2005,Non-human rights,0,0,1,-0.0017111493506526338,-5.469166318296228e-5
CYP,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
CZE,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
DEU,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
DNK,4595,2005,Non-human rights,0,0,1,-0.0017071151505407183,-5.4562722296738984e-5
DOM,4595,2005,Non-human rights,0,0,1,-0.0016951858237219666,-5.4181437796866544e-5
DZA,4595,2005,Non-human rights,0,0,1,-0.0017046107609935365,-5.4482677133211235e-5
ECU,4595,2005,Non-human rights,0,0,1,-0.0017096595147952898,-5.464404512970662e-5
EGY,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
ESP,4595,2005,Non-human rights,0,0,1,-0.0016970815353844388,-5.424202843069778e-5
EST,4595,2005,Non-human rights,0,0,1,-0.0016981534835575885,-5.427628998034751e-5
FIN,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
FRA,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
GBR,4595,2005,Non-human rights,0,0,1,-0.0016941394347582308,-5.414799316928849e-5
GEO,4595,2005,Non-human rights,0,0,1,-0.0017128507098153416,-5.4746041932686585e-5
GHA,4595,2005,Non-human rights,0,0,1,-0.0017706414081910887,-5.659314511480745e-5
GIN,4595,2005,Non-human rights,0,0,1,-0.0017248771647260378,-5.513043083539109e-5
GRC,4595,2005,Non-human rights,0,0,1,-0.0017006104963508514,-5.435482089062376e-5
GTM,4595,2005,Non-human rights,0,0,1,-0.001708748149294296,-5.4614916114756574e-5
GUY,4595,2005,Non-human rights,0,0,1,-0.0017097219815897348,-5.46460416900189e-5
HRV,4595,2005,Non-human rights,0,0,1,-0.0017078498000929869,-5.458620312607446e-5
HUN,4595,2005,Non-human rights,0,0,1,-0.0016984548650843762,-5.4285922720439043e-5
IND,4595,2005,Non-human rights,0,0,1,-0.0017011723754391688,-5.437277963971605e-5
IRL,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
ISL,4595,2005,Non-human rights,0,0,1,-0.0017071151505407183,-5.4562722296738984e-5
ITA,4595,2005,Non-human rights,0,0,1,-0.0017031086568587846,-5.443466696193527e-5
JAM,4595,2005,Non-human rights,0,0,1,-0.0017044346950199163,-5.447704972206589e-5
JOR,4595,2005,Non-human rights,0,0,1,-0.0016973526868345622,-5.425069495871069e-5
KWT,4595,2005,Non-human rights,0,0,1,-0.0017239947751743864,-5.510222794816989e-5
LBY,4595,2005,Non-human rights,0,0,1,-0.0016889432775310251,-5.398191387246518e-5
LKA,4595,2005,Non-human rights,0,0,1,-0.001689446706714935,-5.399800444886775e-5
LTU,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
LVA,4595,2005,Non-human rights,0,0,1,-0.0017027538186454086,-5.442332564211243e-5
MAR,4595,2005,Non-human rights,0,0,1,-0.0017105035555626338,-5.467102231515373e-5
MDV,4595,2005,Non-human rights,0,0,1,-0.0016936858290654121,-5.4133495048618863e-5
MEX,4595,2005,Non-human rights,0,0,1,-0.0017087728563741236,-5.4615705801108406e-5
MUS,4595,2005,Non-human rights,0,0,1,-0.0016952802935983708,-5.4184457237956985e-5
MWI,4595,2005,Non-human rights,0,0,1,-0.001700144581596835,-5.433992934840454e-5
NAM,4595,2005,Non-human rights,0,0,1,-0.0016205976081817776,-5.179745327781428e-5
NGA,4595,2005,Non-human rights,0,0,1,-0.0017222630254148613,-5.504687785583049e-5
NLD,4595,2005,Non-human rights,0,0,1,-0.0017071151505407183,-5.4562722296738984e-5
NOR,4595,2005,Non-human rights,0,0,1,-0.001705680491599256,-5.451686780509047e-5
PAK,4595,2005,Non-human rights,0,0,1,-0.001705661733267189,-5.451626825229345e-5
PAN,4595,2005,Non-human rights,0,0,1,-0.0017251560376870163,-5.513934415791717e-5
POL,4595,2005,Non-human rights,0,0,1,-0.0017040563554473614,-5.44649572530695e-5
PRT,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
QAT,4595,2005,Non-human rights,0,0,1,-0.0017038516410530125,-5.4458414182647177e-5
ROU,4595,2005,Non-human rights,0,0,1,-0.0016950272221980594,-5.417636858352025e-5
RWA,4595,2005,Non-human rights,0,0,1,-0.0015818376792110633,-5.055861052019448e-5
SGP,4595,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
SLV,4595,2005,Non-human rights,0,0,1,-0.0017257726637888633,-5.515905272810082e-5
SVK,4595,2005,Non-human rights,0,0,1,-0.0017066298503129245,-5.454721115705326e-5
SVN,4595,2005,Non-human rights,0,0,1,-0.0017071151505407183,-5.4562722296738984e-5
SWE,4595,2005,Non-human rights,0,0,1,-0.0016981883227752995,-5.4277403509543476e-05
TGO,4595,2005,Non-human rights,0,0,1,-0.0017646181664481056,-5.640063058733435e-5
TTO,4595,2005,Non-human rights,0,0,1,-0.0017055758229773971,-5.45135223922483e-5
TUN,4595,2005,Non-human rights,0,0,1,-0.0016866085995690635,-5.3907293021463726e-5
TUR,4595,2005,Non-human rights,0,0,1,-0.001725156951643406,-5.5139373369741966e-5
UGA,4595,2005,Non-human rights,0,0,1,-0.0017448960037715986,-5.5770271888409725e-5
UKR,4595,2005,Non-human rights,0,0,1,-0.0016882032037004945,-5.395825967264068e-5
VEN,4595,2005,Non-human rights,0,0,1,-0.0017110021023439294,-5.468695684046748e-5
ARE,4596,2005,Non-human rights,0,0,1,-0.0016931622877543703,-5.41167616494945e-5
ARG,4596,2005,Non-human rights,0,0,1,-0.0017077010712504602,-5.458144946283755e-5
AUT,4596,2005,Non-human rights,0,0,1,-0.001701383783837096,-5.437953666351942e-5
AZE,4596,2005,Non-human rights,0,0,1,-0.0016874190781217555,-5.3933197493217716e-5
