iso3c,rcid,year,issue_domain,brazil,post_2009,human_rights_binary,brazil_hr,brazil_post_2009,brazil_post_hr,distance_china_minus_usa,agreement_china_minus_usa,observation_weight
JAM,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
JOR,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
KWT,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
LBY,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
LKA,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
LTU,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
LVA,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
MAR,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
MDV,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
MEX,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
MUS,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
MWI,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
NAM,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
NGA,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
NLD,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
NOR,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
PAK,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
PAN,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
POL,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
PRT,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
QAT,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
ROU,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
RWA,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
SGP,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
SLV,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
SVK,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
SVN,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
SWE,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
TGO,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
TTO,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
TUN,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
TUR,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
UGA,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
UKR,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
VEN,4594,2005,Human rights,0,0,1,0,0,0,-2,1,1
ARE,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ARG,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
AUT,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
AZE,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGD,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BHR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
