fit_id,donor_iso3c,unit_weight,weight_rank,cumulative_weight,effective_donor_count
aus_cue_2007,VCT,0.00887521891386542,33,0.9565736319147891,25.701314982024133
aus_cue_2007,COL,0.00846113715846567,34,0.9650347690732547,25.701314982024133
aus_cue_2007,BTN,0.008224234024616993,35,0.9732590030978717,25.701314982024133
aus_cue_2007,ECU,0.0070589413376538025,36,0.9803179444355256,25.701314982024133
aus_cue_2007,NAM,0.006397187084113552,37,0.9867151315196391,25.701314982024133
aus_cue_2007,BOL,0.005586521777967162,38,0.9923016532976062,25.701314982024133
aus_cue_2007,NIC,0.0036002814945925153,39,0.9959019347921987,25.701314982024133
aus_cue_2007,ATG,0.0023061653487301795,40,0.9982081001409289,25.701314982024133
aus_cue_2007,TUR,0.0017918998590717155,41,1.0000000000000007,25.701314982024133
aus_cue_2007,AFG,0,42,1.0000000000000007,25.701314982024133
aus_cue_2007,AND,0,43,1.0000000000000007,25.701314982024133
aus_cue_2007,ARE,0,44,1.0000000000000007,25.701314982024133
aus_cue_2007,ARG,0,45,1.0000000000000007,25.701314982024133
aus_cue_2007,AUT,0,46,1.0000000000000007,25.701314982024133
aus_cue_2007,AZE,0,47,1.0000000000000007,25.701314982024133
aus_cue_2007,BGD,0,48,1.0000000000000007,25.701314982024133
aus_cue_2007,BGR,0,49,1.0000000000000007,25.701314982024133
aus_cue_2007,BHR,0,50,1.0000000000000007,25.701314982024133
aus_cue_2007,BHS,0,51,1.0000000000000007,25.701314982024133
aus_cue_2007,BLR,0,52,1.0000000000000007,25.701314982024133
aus_cue_2007,BLZ,0,53,1.0000000000000007,25.701314982024133
aus_cue_2007,BRB,0,54,1.0000000000000007,25.701314982024133
aus_cue_2007,BRN,0,55,1.0000000000000007,25.701314982024133
aus_cue_2007,COM,0,56,1.0000000000000007,25.701314982024133
aus_cue_2007,CZE,0,57,1.0000000000000007,25.701314982024133
aus_cue_2007,DEU,0,58,1.0000000000000007,25.701314982024133
aus_cue_2007,DJI,0,59,1.0000000000000007,25.701314982024133
aus_cue_2007,DMA,0,60,1.0000000000000007,25.701314982024133
aus_cue_2007,DNK,0,61,1.0000000000000007,25.701314982024133
aus_cue_2007,DZA,0,62,1.0000000000000007,25.701314982024133
aus_cue_2007,ESP,0,63,1.0000000000000007,25.701314982024133
aus_cue_2007,EST,0,64,1.0000000000000007,25.701314982024133
aus_cue_2007,FIN,0,65,1.0000000000000007,25.701314982024133
aus_cue_2007,FRA,0,66,1.0000000000000007,25.701314982024133
aus_cue_2007,FSM,0,67,1.0000000000000007,25.701314982024133
aus_cue_2007,GBR,0,68,1.0000000000000007,25.701314982024133
aus_cue_2007,GRC,0,69,1.0000000000000007,25.701314982024133
aus_cue_2007,GUY,0,70,1.0000000000000007,25.701314982024133
aus_cue_2007,HUN,0,71,1.0000000000000007,25.701314982024133
aus_cue_2007,IRL,0,72,1.0000000000000007,25.701314982024133
aus_cue_2007,ISL,0,73,1.0000000000000007,25.701314982024133
aus_cue_2007,ITA,0,74,1.0000000000000007,25.701314982024133
aus_cue_2007,JAM,0,75,1.0000000000000007,25.701314982024133
aus_cue_2007,JOR,0,76,1.0000000000000007,25.701314982024133
aus_cue_2007,LBN,0,77,1.0000000000000007,25.701314982024133
aus_cue_2007,LBY,0,78,1.0000000000000007,25.701314982024133
aus_cue_2007,LCA,0,79,1.0000000000000007,25.701314982024133
aus_cue_2007,LKA,0,80,1.0000000000000007,25.701314982024133
aus_cue_2007,LTU,0,81,1.0000000000000007,25.701314982024133
aus_cue_2007,LVA,0,82,1.0000000000000007,25.701314982024133
aus_cue_2007,MAR,0,83,1.0000000000000007,25.701314982024133
aus_cue_2007,MDA,0,84,1.0000000000000007,25.701314982024133
aus_cue_2007,MDV,0,85,1.0000000000000007,25.701314982024133
aus_cue_2007,MUS,0,86,1.0000000000000007,25.701314982024133
aus_cue_2007,NGA,0,87,1.0000000000000007,25.701314982024133
aus_cue_2007,NLD,0,88,1.0000000000000007,25.701314982024133
aus_cue_2007,NOR,0,89,1.0000000000000007,25.701314982024133
aus_cue_2007,PAK,0,90,1.0000000000000007,25.701314982024133
aus_cue_2007,POL,0,91,1.0000000000000007,25.701314982024133
aus_cue_2007,PRT,0,92,1.0000000000000007,25.701314982024133
aus_cue_2007,PRY,0,93,1.0000000000000007,25.701314982024133
aus_cue_2007,ROU,0,94,1.0000000000000007,25.701314982024133
aus_cue_2007,RWA,0,95,1.0000000000000007,25.701314982024133
aus_cue_2007,SEN,0,96,1.0000000000000007,25.701314982024133
aus_cue_2007,SUR,0,97,1.0000000000000007,25.701314982024133
aus_cue_2007,SVK,0,98,1.0000000000000007,25.701314982024133
aus_cue_2007,SVN,0,99,1.0000000000000007,25.701314982024133
aus_cue_2007,SWE,0,100,1.0000000000000007,25.701314982024133
aus_cue_2007,SWZ,0,101,1.0000000000000007,25.701314982024133
aus_cue_2007,SYR,0,102,1.0000000000000007,25.701314982024133
aus_cue_2007,TGO,0,103,1.0000000000000007,25.701314982024133
aus_cue_2007,TTO,0,104,1.0000000000000007,25.701314982024133
aus_cue_2007,TUN,0,105,1.0000000000000007,25.701314982024133
