model_id,country_id,iso3c,country_name,factor,loading
full_switching,53,FSM,Micronesia (Federated States of),factor_1,-0.13136183305084154
full_switching,54,GAB,Gabon,factor_1,0.05122360854795759
full_switching,55,GBR,United Kingdom,factor_1,-0.13860909077723582
full_switching,56,GEO,Georgia,factor_1,-0.12586223242236746
full_switching,57,GHA,Ghana,factor_1,0.03783188740621978
full_switching,58,GIN,Guinea,factor_1,0.15133782824597344
full_switching,59,GMB,Gambia,factor_1,0.11928196315973245
full_switching,60,GNQ,Equatorial Guinea,factor_1,-0.09646546874869183
full_switching,61,GRC,Greece,factor_1,-0.1477425955593944
full_switching,62,GRD,Grenada,factor_1,-0.053421236528585075
full_switching,63,GTM,Guatemala,factor_1,-0.13920580406676694
full_switching,64,GUY,Guyana,factor_1,0.03873818204771617
full_switching,65,HND,Honduras,factor_1,-0.09212230037977012
full_switching,66,HRV,Croatia,factor_1,-0.11794732212008917
full_switching,67,HTI,Haiti,factor_1,-0.06558445111058255
full_switching,68,HUN,Hungary,factor_1,-0.12181072588416453
full_switching,69,IDN,Indonesia,factor_1,0.2715299910597062
full_switching,70,IND,India,factor_1,0.03220096831058279
full_switching,71,IRL,Ireland,factor_1,-0.17030552009798677
full_switching,72,IRN,Iran,factor_1,0.4658533115585773
full_switching,73,ISL,Iceland,factor_1,-0.18244260412299365
full_switching,74,ISR,Israel,factor_1,-0.1122359116467546
full_switching,75,ITA,Italy,factor_1,-0.15195056455259598
full_switching,76,JAM,Jamaica,factor_1,-0.035632037285220616
full_switching,77,JOR,Jordan,factor_1,0.11387404693315958
full_switching,78,JPN,Japan,factor_1,-0.14597718864518744
full_switching,79,KAZ,Kazakhstan,factor_1,-0.08939347756936687
full_switching,80,KEN,Kenya,factor_1,0.03160334711108621
full_switching,81,KNA,St. Kitts & Nevis,factor_1,0.034599028994778964
full_switching,82,KOR,South Korea,factor_1,-0.036412310453898304
full_switching,83,KWT,Kuwait,factor_1,0.15823217426254038
full_switching,84,LAO,Laos,factor_1,0.3023532912946487
full_switching,85,LBN,Lebanon,factor_1,0.2690442072882234
full_switching,86,LBY,Libya,factor_1,0.09036382458078622
full_switching,87,LCA,St. Lucia,factor_1,0.07245458932182555
full_switching,88,LKA,Sri Lanka,factor_1,0.17978700350355822
full_switching,89,LSO,Lesotho,factor_1,0.0721965067605382
full_switching,90,LTU,Lithuania,factor_1,-0.1226695892551347
full_switching,91,LVA,Latvia,factor_1,-0.13324345587454417
full_switching,92,MAR,Morocco,factor_1,0.07622054988881202
full_switching,93,MDA,Moldova,factor_1,-0.15119375446067215
full_switching,94,MDG,Madagascar,factor_1,-0.03679196895508115
full_switching,95,MDV,Maldives,factor_1,0.02929779862168182
full_switching,96,MEX,Mexico,factor_1,-0.07396147471016855
full_switching,97,MHL,Marshall Islands,factor_1,-0.2761276468710941
full_switching,98,MKD,North Macedonia,factor_1,-0.1542484360296546
full_switching,99,MLI,Mali,factor_1,0.17205481887962648
