model_id,country_id,iso3c,country_name,focal_country,cue_group,observed_model_periods,masked_model_periods,eligible_control_periods,treated_periods,included_by_fect,ever_treated_in_model
clean_controls,94,SGP,Singapore,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,95,SLV,El Salvador,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,96,SUR,Suriname,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,97,SVK,Slovakia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,98,SVN,Slovenia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,99,SWE,Sweden,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,100,SWZ,Eswatini,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,101,SYR,Syria,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,102,TGO,Togo,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,103,TTO,Trinidad & Tobago,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,104,TUN,Tunisia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,105,TUR,Turkey,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,106,UGA,Uganda,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,108,USA,United States,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,109,VCT,St. Vincent & Grenadines,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,110,WSM,Samoa,FALSE,other_countries,26,0,26,0,TRUE,FALSE
full_switching,9,AUS,Australia,TRUE,selected_public_cue,26,0,0,14,TRUE,TRUE
full_switching,27,CHL,Chile,TRUE,selected_public_cue,26,0,0,15,TRUE,TRUE
full_switching,54,GAB,Gabon,TRUE,selected_public_cue,26,0,0,6,TRUE,TRUE
full_switching,124,QAT,Qatar,TRUE,selected_public_cue,26,0,0,2,TRUE,TRUE
full_switching,151,URY,Uruguay,TRUE,selected_public_cue,26,0,0,10,TRUE,TRUE
full_switching,1,AFG,Afghanistan,FALSE,other_countries,26,0,26,0,TRUE,FALSE
