iso3c,country_name,original_year,m2_full_year,original_ever,m2_full_ever,status_original,status_m2_full,change_type
NPL,Nepal,,,FALSE,FALSE,never_observed,never_observed,no_change
NLD,Netherlands,,,FALSE,FALSE,never_observed,never_observed,no_change
NIC,Nicaragua,,,FALSE,FALSE,never_observed,never_observed,no_change
NER,Niger,,,FALSE,FALSE,never_observed,never_observed,no_change
NGA,Nigeria,,,FALSE,FALSE,never_observed,never_observed,no_change
PRK,North Korea,1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
MKD,North Macedonia,,,FALSE,FALSE,never_observed,never_observed,no_change
NOR,Norway,,,FALSE,FALSE,never_observed,never_observed,no_change
OMN,Oman,2000,2000,TRUE,TRUE,observed_entry,observed_entry,no_change
PAK,Pakistan,,,FALSE,FALSE,never_observed,never_observed,no_change
PLW,Palau,,,FALSE,FALSE,never_observed,never_observed,no_change
PRY,Paraguay,,,FALSE,FALSE,never_observed,never_observed,no_change
PHL,Philippines,2005,2005,TRUE,TRUE,observed_entry,observed_entry,no_change
POL,Poland,,,FALSE,FALSE,never_observed,never_observed,no_change
PRT,Portugal,,,FALSE,FALSE,never_observed,never_observed,no_change
QAT,Qatar,2021,2021,TRUE,TRUE,observed_entry,observed_entry,no_change
ROU,Romania,,,FALSE,FALSE,never_observed,never_observed,no_change
RUS,Russia,1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
RWA,Rwanda,,,FALSE,FALSE,never_observed,never_observed,no_change
WSM,Samoa,,,FALSE,FALSE,never_observed,never_observed,no_change
SMR,San Marino,,,FALSE,FALSE,never_observed,never_observed,no_change
SEN,Senegal,,,FALSE,FALSE,never_observed,never_observed,no_change
SYC,Seychelles,,,FALSE,FALSE,never_observed,never_observed,no_change
SLE,Sierra Leone,2012,2012,TRUE,TRUE,observed_entry,observed_entry,no_change
SVK,Slovakia,,,FALSE,FALSE,never_observed,never_observed,no_change
SVN,Slovenia,,,FALSE,FALSE,never_observed,never_observed,no_change
